"General","Vçeobecn‚"
"I feel so uneasy!","C¡t¡m se tak nepý¡jemnì!"
"I am very satisfied.","Jsem velmi spokojen."
"I feel very uneasy.","C¡t¡m se velmi nepý¡jemnì."
"I'm uneasy.","Jsem nepý¡jemnì."
"I'm not uneasy.","Nejsem nepý¡jemnì."
"died of thirst","zemýel na §¡zeå"
"was crushed by a rock","byl rozdrcen sk lou"
"I'm thirsty.","M m §¡zeå."
"I'm hungry.","M m hlad."
"I don't have enough cabinets.","Nem m dost ský¡n¡."
"I had a bath with soap!","MØl jsem koupel s mìdlem!"
"I slept on rocks.","Spal jsem na skal ch."
"I would give anything to be away from here.  I can't stand the boredom!","Dal bych cokoli, abych byl pryŸ odtud. Nemohu vydr§et nudu!"
" Shearable Tissue "," Stý¡hac¡ Tk å "
" head"," hlava"
"Stone Blocks","Kamenn‚ Bloky"
"Barrels","Sudy"
"Grab Shear Unit","Chytit Stý¡hac¡ Jednotku"
"Go to Shear Station","Jde do Stý¡hac¡ Stanice"
"Go to Cage","Jde do Klece"
"just","pouze"
"stonefly","letaj¡c¡ k men"
"Limestone","V penec"
"Sandstone","P¡skovec"
"Moonstone","MØs¡Ÿn¡ K men"
"Stone Carving","Tes n¡ Kamene"
"Stonecutting","üez n¡ Kamene"
"Soap Making","Vyr bØn¡ Mìdla"
"Potash Making","Vyr bØn¡ Hnojiva"
"Lye Making","Vyr bØn¡ Louhu"
"Stone Crafting","Kamenn‚ Vyr bØn¡"
"Singing","Zp¡v "
"Shearing","Stý¡h n¡"
"Stone Carver","Tesaý Kamene"
"Stonecutter","üezaŸ Kamene"
"Soaper","Mìdlaý"
"Potash Maker","Vìrobce Hnojiva"
"Lye Maker","Vìrobce Louhu"
"Papermaker","Vìrobce Pap¡ru"
"Stone Crafter","Vyr bØŸ Kamene"
"Glassmaker","Vìrobce Skla"
"Cheesemaker","Vìrobce Sìru"
"Shearer","Stý¡haŸ"
"killer","zabij k"
"murderer","vrah"
"processable (to barrel) ","zpracovateln‚ (do sudu) "
" get hungry. "," dostat hlad. "
"[Requires fuel]","[Vy§aduje palivo]"
"[Requires ore]","[Vy§aduje rudu]"
"[Requires ore, fuel]","[Vy§aduje rudu, palivo]"
"[Requires ","[Vy§aduje "
"Stone shape not found: ","Tvar kamene nebyl nalezen: "
" millstone"," mlìnskì k men"
"head ","hlava "
"Sleep","Sp nek"
"The image ","Obraz "
"lye-bearing ","zp…sob louhov n¡ "
"soap ","mìdlo "
"lye/milk-free ","louh/bez ml‚ka "
"stone ","k men "
"calcite/limestone/chalk/marble ","kalcit/v penec/ký¡da/mramor "
"We checked that stone for heat!  What devilry is this?!","Zkontrolovali jsme ten k men na teplo! Co je to Ô bel?!"
"[C:VAR:MEETING:ACTOR][VAR:NATIVENAME:MEETING:ACTOR]:  Although we do not always see eye to eye (ha!), I bid you farewell.  May you someday embrace nature as you embrace the rocks and mud.","[C:VAR:MEETING:ACTOR][VAR:NATIVENAME:MEETING:ACTOR]:  I kdy§ ne v§dy vid¡me z oŸ¡ do oŸ¡ (ha!), Nab¡dnu v m rozlouŸen¡. K‚§ jednou pýijmete pý¡rodu, jako pýijmete sk ly a bl to."
"[C:VAR:MEETING:ACTOR][VAR:NATIVENAME:MEETING:ACTOR]:  Greetings from the woodlands.  We have much to discuss.","[C:VAR:MEETING:ACTOR][VAR:NATIVENAME:MEETING:ACTOR]:  Pozdravy z les…. M me toho hodnØ k diskuzi."
"[C:VAR:MEETING:ACTOR][VAR:NATIVENAME:MEETING:ACTOR]:  Greetings, noble dwarf.  There is much to discuss.","[C:VAR:MEETING:ACTOR][VAR:NATIVENAME:MEETING:ACTOR]:  Zdrav¡m, uçlechtilì trpasl¡k. Je toho hodnØ co diskutovat."
"[C:VAR:MEETING:ACTOR][VAR:NATIVENAME:MEETING:ACTOR]:  Again on behalf of the Merchants' Guild, let me bid farewell to you and your stout dwarves.","[C:VAR:MEETING:ACTOR][VAR:NATIVENAME:MEETING:ACTOR]:  Znovu jm‚nem cechu obchodn¡k…, dovolte mi rozlouŸit se s v mi a vaçimi tvrdìmi trpasl¡ky."
"rock","sk la"
"stones","kameny"
"barrel","sud"
"millstone","mlìnskì k men"
"stone furniture shop sign","cedulka obchodu s kamennìm n bytkem"
"soap body part","Ÿ st tØla mìdla"
"Modest Dining Room","Skromn  J¡delna"
"Modest Quarters","Skromn  ¬tvrœ"
"Stone Hauling","Kamenn  Pýeprava"
"Stone Engraving","Kamenn  Rytina"
"Stonecrafting","Kamenovìroba"
"Stoneworking","Kamenictv¡"
"thirsty","§¡znivì"
"hungry","hladovì"
"cleaned self with soap","samoŸiçtØno s mìdlem"
"slept on rough stone","spal na drsn‚m kameni"
"slept on rocks","spal na skal ch"
"slept on dirt","spal ve çp¡nØ"
"slept on driftwood","spal na naplaven‚m dý¡v¡"
"gave birth","porodila"
"received water","obdr§el vodu"
"gave water","dal vodu"
"received food","obdr§el j¡dlo"
"was killed by falling rocks","byl zabit padaj¡c¡ sk lu"
" by falling rocks"," padaj¡c¡ sk lou"
"Some","NØjakì"
"thirst","§¡zeå"
"[NAME:great axe:great axes]","[NAME:velk  sekera:velk‚ sekery]"
"[NAME:battle axe:battle axes]","[NAME:bojov  sekera:bojov‚ sekery]"
" Barrel"," Sud"
"Died of thirst","Zemýel na §¡zeå"
"Killed by falling rocks","Zabito padaj¡c¡ sk lou"
"a day's travel","den cesty"
"crystal glass gems","rahokamy z kýiçœ lov‚ho skla"
"Shear ","Stý¡hat "
"Process plants (barrel)","Procesn¡ rostliny (sud)"
"Make lye","Vyrob louh"
"Make potash from lye","Vyrob hnojivo z louhu"
"Make potash from ash","Vyrob hnojivo z popela"
"Polish stones","LeçtØn¡ kamen¡"
"polished stones","leçtØn‚ kameny"
" barrel"," sud"
"Store item in barrel","Ulo§it pýedmØt do sudu"
"Load stone trap","Naplnit kamenou past"
"potash","hnojivo"
"potash slush","býeŸka hnojiva"
"pressed potash","lisovan‚ hnojivo"
"frozen lye","mra§enì louh"
"frozen lye powder","mra§enì louhovì prach"
"lye slush","býeŸka louhu"
"lye","louh"
"boiling lye","vaý¡c¡ louh"
" dismounts"," sesednout"
"You must have at least as many of these highest volcanism points as you are requiring volcanos.  ","Mus¡te m¡t alespoå tolik vulkanickìch bod…, kolik vy§adujete sopek. "
"LACK OF VOLCANOS","NEDOSTATEK SOPEK"
"Rocky Wasteland","Skalnat  Pustina"
"Volcano: ","Sopka: "
"is disgusted by merrymakers","je znechucen veselìmi"
"finds a chaotic mess preferable to the boredom of harmonious living","shled v  chaotickì nepoý dek, kterì je lepç¡ ne§ nuda harmonick‚ho §ivota"
"would be deeply satisfied if everyone could live as one in complete harmony","byl by hluboce spokojen, kdyby ka§dì mohl §¡t jako jeden v £pln‚ harmonii"
"is bored by reality and would rather disappear utterly and forever into a world of made-up fantasy","se nud¡ realitou a radØji by zmizel naprosto a nav§dy do svØta vytvoýen‚ fantazie"
"a soapy bath","mìdlov  koupel"
"sleeping on rocks","sp¡c¡ na skal ch"
" has been satisfied."," byl spokojen."
" is satisfied with their position here. "," je zde spokojen s jejich pozic¡. "
"Semi-molten Rock","Polotekut  Sk la"
"singing metal","zp¡vaj¡c¡ kov"
":body:bodies",":tØlo:tØla"
" heads"," hlavy"
" heads are"," hlavy jsou"
" head is"," hlava je"
":heads:heads",":hlavy:hlavy"
":head:heads",":hlava:hlavy"
"it appears to be covered with rocky crags","zd  se, §e je pokryt skalnatìmi £tesy"
"it rocks back and forth whenever somebody changes their mind in its presence","houpe se tam a zpØt, kdykoli nØkdo zmØn¡ n zor v jeho pý¡tomnosti"
"hand","ruka"
"hands","ruce"
"champion","mistr"
"Fighters","Bojovn¡ci"
"fighter","bojovn¡k"
"Guardian","Sr §ce"
"Guardians","Str §ci"
"guardian","opatrovn¡k"
"Spirit","Duch"
"Spirits","Duchov‚"
"Messenger","Posel"
"Messengers","Poslov‚"
"messenger","kurìr"
"Slayers","Pýemo§itel‚"
"Enforcer","VymahaŸ"
"Enforcers","VymahaŸi"
"Doom","Osud"
"bane","proklet¡"
"Ruination","Zý¡cen¡"
"[IS_NAME:the secrets of life and death]","[IS_NAME:tajemstv¡ §ivota a smrti]"
"[NAME:coat:coats]","[NAME:kab t:kab ty]"
"[NAME:shirt:shirts]","[NAME:koçile:koçile]"
"[NAME:tunic:tunics]","[NAME:tunika:tuniky]"
"[NAME:cape:capes]","[NAME:kapuce:kapuce]"
"[NAME:vest:vests]","[NAME:vesta:vesty]"
"[NAME:dress:dresses]","[NAME:çaty:çaty]"
"[NAME:robe:robes]","[NAME:roucho:roucha]"
"[NAME:cap:caps]","[NAME:Ÿepice:Ÿepice]"
"[NAME:helm:helms]","[NAME:helma:helmy]"
"[NAME:hood:hoods]","[NAME:kapuce:kapuce]"
"[NAME:turban:turbans]","[NAME:turban:turbany]"
"[NAME:mask:masks]","[NAME:maska:masky]"
"[NAME:head veil:head veils]","[NAME:z voj na hlavu:z voje na hlavu]"
"[NAME:face veil:face veils]","[NAME:obliŸejovì z voj:obliŸejov‚ z voje]"
"[NAME:headscarf:headscarves]","[NAME:ç tek na hlavu:ç tky na hlavu]"
"[NAME:gauntlet:gauntlets]","[NAME:rukavice:rukavice]"
"[NAME:mitten:mittens]","[NAME:palŸ ky:palŸ ky]"
"[NAME:glove:gloves]","[NAME:rukavice:rukavice]"
"[NAME:low boot:low boots]","[NAME:n¡zk  bota:n¡zk‚ boty]"
"[NAME:high boot:high boots]","[NAME:vysok  bota:vysok‚ boty]"
"[NAME:sock:socks]","[NAME:pono§ka:pono§ky]"
"[NAME:sandal:sandals]","[NAME:sand l:sand ly]"
"[NAME:shoe:shoes]","[NAME:stýev¡c:stýev¡ce]"
"[ATTACK:BLUNT:1:10:lash:lashes:NO_SUB:5000]","[ATTACK:BLUNT:1:10:biŸ:biŸe:NO_SUB:5000]"
"[NAME:arrow:arrows]","[NAME:ç¡p:ç¡py]"
"[NAME:blowdart:blowdarts]","[NAME:foukac¡ çipka:foukac¡ çipky]"
"[NAME:halberd:halberds]","[NAME:halapartna:halapartny]"
"[NAME:maul:mauls]","[NAME:kyj:kyje]"
"[NAME:war hammer:war hammers]","[NAME:v leŸn‚ kladivo:v leŸn‚ kladiva]"
"[NAME:bolt:bolts]","[NAME:çipka:çipky]"
"Nobody","Nikdo"
"Loss","Ztr ta"
"Ruin","Rujna"
"the Rocks","Sk ly"
"Not enough volcanos","Nedostatek sopek"
"Stone Furniture","Kamennì N bytek"
"Hunters","Lovci"
" is bored"," je nudnì"
" gets bored, "," se nud¡, "
" gets bored"," se nud¡"
" starts getting bored"," se zaŸne nudit"
"sound","zvuk"
"papermaker","vìrobce pap¡ru"
"glassmaker","vìrobce skla"
"cheesemaker","vìrobce sìru"
"shearer","Stý¡haŸ"
"soap maker","vìrobce mìdla"
"potash maker","vìrobce hnojiva"
"lye maker","vìrobce louhu"
"Soap Maker","Vìrobce Mìdla"
" retch"," zvracet"
" retches"," d vit"
"The vomit splatters into the shallow puddle of water.","Zvratky se rozstý¡kli do mØlk‚ kalu§e vody."
" no longer stunned."," nen¡ d le omr Ÿenì"
" out from exhaustion."," z vyŸerp n¡"
" collapse and fall"," zkolaboval a spadnul"
" collapses and falls"," zkolaboval a spadnul"
" give"," d t"
" gives"," d v "
" forgotten "," zapomenutì "
" training!"," tr‚nink!"
" the name "," jm‚no "
"rarely sick","vyj¡meŸnØ nemocnì"
"a sharp intellect","bystrì rozum"
"a good intellect","dobrì rozum"
"a lousy intellect","chabì rozm"
"very bad analytical abilities","velmi çpatn‚ analytick‚ schopnosti"
"poor analytical abilities","chab‚ analytick‚ schopnosti"
"unbreakable focus","nezlomn‚ soustýedØn¡"
"a great ability to focus","vysoka schopnost soustýedØn¡"
"been killed by falling rocks.","byl zabit padaj¡c¡ sk lou."
"been found dead.","byl nalezen mrtv¡."
"been found, starved to death.","byl nalezen, zemýel hladem."
"been found dead, dehydrated.","byl nalezen mrtvì, dehydratovanì."
"been found dead, drowned.","byl nalezen mrtvì, utopenì."
"been found dead, badly burned.","byl nalezen mrtvì, oçklivØ pop lenì."
"been found dead, frozen.","byl nalezen mrtv¡, umrzl."
"been found dead, badly crushed.","byl nalezen mrtvì, oçklivØ rozdrcen."
"Duplicate Object: ","Duplikovat Objekt: "
"inorganic","anorganick‚"
"translation","pýeklad"
"color","barva"
"shape","tvar"
"interaction","interakce"
"failed vermin colony deletion","ne£spØçn‚ odstranØn¡ kolonie çk…dc…"
"Generating world using parameter set ","Generov n¡ svØta pomoc¡ sady parametr… "
" Seed: "," Zdroj: "
" History Seed: "," Zdroj historie: "
" Name Seed: "," Zdroj jmen: "
" Creature Seed: "," Zdroj tvor…: "
"It is raining ","Prç¡ "
"It is snowing ","Pad  sn¡h. "
"A cloud of ","Oblak "
" has drifted nearby!"," prohnal se nedaleko!"
"Winter is upon you.","Pýiçla zima."
"Winter has arrived on the calendar.","Pýiçla kalend ýn¡ zima"
"The dry season has come.","Pýiçlo obdob¡ sucha."
"Autumn has come.","Pýiçel podzim."
"Autumn has arrived on the calendar.","Pýiçel kalend ýn¡ podzim"
"It is now summer.","Nyn¡ je l‚to."
"Summer has arrived on the calendar.","ZaŸalo kalend ýå¡ l‚to."
"The wet season has arrived!","Pýiçlo obdob¡ deçœ…."
"Spring has arrived!","Pýiçlo jaro!"
" improved "," vylepçeno "
" masterfully!"," mistrovsky!"
"This artwork is a","Toto umØleck‚ d¡lo je"
"This engraving appears on a wall ","Tato rytina se objevuje na zdi "
"This engraving appears on a floor ","Tato rytina se objevuje na podlaze "
" somewhere"," nØkde"
"This artwork appears ","Toto umØleck‚ d¡lo se objev¡ "
"on the back of ","na zadn¡ stranØ "
"on the front of ","na pýedn¡ stranØ "
"This artwork appears on a ","Toto umØleck‚ d¡lo se objevuje na "
"This work of art is a ","Toto umØleck‚ d¡lo je "
" and was crafted in "," a bylo vyrobeno v "
"This artwork appears on ","Toto umØleck‚ d¡lo se objev¡ na "
"It is a","Je to"
"It ","To "
"Engraved ","Vyryto "
"on the floor ","na podlaze "
"on the wall ","na zdi "
"On the coin's back ","Na rubu mince "
"On the front of the coin ","Na l¡ci mince "
"On the item ","Na pýedmØtu "
"The item ","PýedmØt "
"is a","je"
" rendition of "," ztv rnØn¡ "
" masterfully designed"," mistrovsky navr§eno"
"n exceptionally designed","n vyj¡meŸnØ navr§eno"
" superiorly designed"," velmi dobýe navr§eno"
" finely-designed"," preciznØ navr§eno"
" well-designed"," dobýe navr§eno"
"The artwork relates to ","UmØlec‚ d¡lo souvis¡ s "
" during "," bØhem "
"was commissioned by","byl povØýen"
"is the symbol of","je symbolem"
"Something has collapsed on the surface!","Na povrchu se nØco zhroutilo!"
"After a polite discussion with local rivals, ","Po zdvoýilostn¡ diskusi s m¡stn¡mi soupeýi, "
"After a polite discussion with a local rival, ","Po zdvoýilostn¡ diskusi s m¡stn¡mi soupeýem "
" has claimed the position of "," pýihl sil se o pozici "
", looks to your thriving economy for its future prosperity and has been incorporated into your holdings.",", oŸek v  od vaç¡ buj¡c¡ ekonomiky budouc¡ prosperitu a byla zaŸlenØna do vaçeho holdingu."
", looks to your thriving economy for its future prosperity.",", oŸek v  od vaç¡ buj¡c¡ ekonomiky budouc¡ prosperitu."
", being the rightful heir, has inherited the position of ",", kterì je pr voplatnìm dØdicem, zdØdil postaven¡ "
" has been appointed to the position of "," byl jmenov n do funkce "
" has been elected to the position of "," byl zvolen do funkce "
"very near","velmi bl¡zko"
"far","daleko"
"nearly a day's travel","necelì den cesty"
"a half day's travel","p…l dne cesty"
"a short walk","kr tk  proch zka"
"aboveground","nadzem¡"
"inaccessible from here","odtud nepý¡stupn‚"
"in the depths","v hlubin ch"
"A snow storm has come.","Pýiçla snØhov  bouýe."
"It has started raining.","ZaŸalo prçet."
"The weather has cleared.","PoŸas¡ se vyjasnilo."
"You have discovered a river.","Objevil jsi ýeku."
"You have discovered an expansive cavern deep underground.","Objevili jste rozs hlou jeskyni hluboko pod zem¡."
"You have discovered a great magma sea.","Objevili jsi velk‚ magmatick‚ moýe."
"You have discovered a deep pit.","Objevili jsi hlubokou j mu."
"You have discovered a magma pool.","Objevili jsi magmatick‚ jez¡rko."
"You have discovered a volcano.","Objevil jsi sopku."
"You have discovered an unusual volcanic wall studded with gems.","Objevili jsi neobvyklou sopeŸnou stØnu posetou drahokamy."
"!  Praise the miners!","! Chvalte horn¡ky!"
"You have found a curious underground structure.","Naçel jsi zvl çtn¡ podzemn¡ stavbu."
"You have struck ","Uderil jsi "
"column update out of bounds: ","aktualizace sloupce mimo hranice: "
"The falling debris has defaced a ","Padaj¡c¡ trosky poçkodili "
"The impertinent vegetation has defaced a ","Nestydata vegetace znehodnotila "
"A careless farmer has defaced a ","Neopatrnì zemØdØlec poçkodil "
"A foolish builder defaced a ","Hloupì stavitel poçkodil "
" have married.  Congratulations!"," se ozenil/vdala se. Gratulujeme!"
"green glass gems","zelen‚ sklenØn‚ drahokamy"
"clear glass gems","drahokamy z Ÿir‚ho skla"
" has slipped into depression..."," propadl depresi..."
" is stumbling around obliviously!"," nez£ŸastnØnØ se pot c¡ kolem!"
" has entered a martial trance!"," dostal se do bojov‚ho transu!"
" is brawling under the influence!"," rve se pod vlivem!"
"eat","j¡"
"eats","jed¡"
" flounder"," placal se"
" flounders"," placali se"
" in the water"," ve vodØ"
" in the lava"," v l vØ"
" in the magma"," v magmatu"
" push "," tlaŸit "
" pushes "," strk  "
"You cannot mount ","Nem…§eç nasednout "
" due to the presence of an existing rider."," proto§e ji§ existuje jezdec."
" mount "," nasednout "
" mounts "," nasednout "
"You fail to mount ","Nepodaýilo se ti nasednout "
" in time."," vŸas."
" dismount"," sesednout"
"You fail to dismount in time.","Nesesednul jsi vŸas."
"You stand up.","Postavil jsi se."
" stands up."," postavil se."
"You lie on the ground.","Le§¡ç na zemi."
" lies on the ground."," le§¡ na zemi."
