"General","Gˆ¢wne"
"World","—wiat"
"Adventurer","Poszukiwacz przyg¢d"
"Dwarf mode","Tryb Krasnoluda"
"Embark","L¥dowanie"
"Stockorder","Zarz¥dzanie magazynem"
"Militia","Milicja"
"its","jego"
"it","to"
"itself","si©"
"Activity","Aktywno˜†"
"Training Session","Sesja treningowa"
"Activity Event","Wydarzenie Aktywno˜ci"
"Research","Badania"
"Play","Graj"
"Worship","Kult"
"Socialize","Udziela† si© towarzysko "
" empty "," pusty "
" empties "," opr¢¾nia "
" pick up "," podnie˜ "
" picks up "," podnosi "
" embraces "," obj©cia "
" has shared many tales from beyond "," udost©pniˆ wiele opowie˜ci zza ˜wiata "
" has shared a few rumors."," podzieliˆ si© kilkoma plotkami."
" has shared a rumor from abroad.","  podzieliˆ si© plotk¥ z zagranicy."
" gives you "," daje ci "
" has discovered "," odkryˆ "
" has become a student of "," zostaˆ uczniem "
"Ponder ","Rozmy˜laj "
"Learn ","Ucz sie "
"Teach ","Nauczaj "
"Discuss ","Dyskutuj na temat "
"Read","Czyta†"
"Write","Pisz"
"Write about ","Pisz na temat "
"Copy","Kopiuj"
"Meditate on ","Medytuj nad "
"Pray to ","M¢dl Si© do "
"Go to Combat Training","Id« Na Trening Walki"
"Organize Combat Training","Zorganizuj Trening Walki"
"Lead Combat Training","Prowad« Trening Walki"
"Wait for Combat Training","Zaczekaj na Trening Walki"
"Play Make Believe","Baw Si© w Udawanie"
"Play with ","Baw si© z "
"Toy","Zabawka"
"Inveigh Against ","Walcz przeciwko "
"Promote ","Promowa† "
"Law","Prawo"
"Loyalty","Lojalno˜†"
"Family","Rodzina"
"Friendship","Przyja«ä"
"Power","Moc"
"Truth","Prawda"
"Cunning","Przebiegˆy"
"Eloquence","Elokwencja"
"Fairness","Uczciwo˜†"
"Decorum","Stosowno˜†"
"Tradition","Tradycja"
"Artwork","Grafika"
"Cooperation","kooperacja"
"Independence","Niezale¾no˜†"
"Stoicism","Stoicyzm"
"Introspection","Introspekcja"
"Self-Control","Samokontrola"
"Tranquility","Spok¢j"
"Harmony","Harmonia"
"Merriment","Wesoˆo˜†"
"Craftsmanship","Rzemiosˆo"
"Martial Prowess","Waleczno˜†"
"Skill","Umiej©tno˜†"
"Hard Work","Ci©¾ka praca"
"Sacrifice","Po˜wi©cenie"
"Competition","Konkurencja"
"Perseverance","Wytrwaˆo˜†"
"Leisure Time","Czas wolny"
"Commerce","Handel"
"Romance","Romans"
"Nature","Natura"
"Peace","Pok¢j"
"Knowledge","Wiedza"
"Preach on ","Gˆosi† "
"Listen to Sermon","Wysˆuchaj kazania"
"Tell Story","Opowiedz Historie"
"Listen to Story","Sˆuchaj Historii"
"Listen to Poetry","Sˆuchaj Poezji"
"Play ","Graj "
"Simulate ","Symuluj "
"Sing","—piewaj"
"Chant","Skanduj"
"Recite Poetry","Recytuj Poezje"
"Perform Music","Graj Muzyke"
"Listen to Music","Sˆuchaj Muzyki"
"Perform Dance","Taäcz"
"Watch Dance","Obserwuj Taniec"
"Go to ","Id« do "
" Demonstration"," Pokaz"
"Lead ","Prowad« "
"Organize ","Organizuj "
"Watch ","Ogl¥daj "
"Wait for ","Zaczekaj na "
"Serve Customer","Obsˆu¾ Klienta"
"Serve ","Obsˆu¾ "
"Go to Individual Combat Drill","Id« na Indywidualn¥ Musztre"
"Individual Combat Drill","Indywidualna Musztra"
"/Resting","/Odpoczywa"
"Go to Sparring Match","Id« na Sparring "
"Spar","Prowad« Sparing"
"Go to Sparring Practice","Id« na Sparring"
"Watch Sparring Practice","Obserwuj Sparring "
"Archery Practice","Praktyka ucznicza"
"You cannot perform here.","Nie mo¾esz tu wyst©powa†. "
"You could not find a partner.","Nie mo¾na znale«† partnera."
"There are not enough dancers.","Za maˆo tancerzy."
"There is not enough room to perform here.","Jest tu zbyt maˆo miejsca by wyst©powa†."
"You","Ty"
"Some children","Jakie˜ dzieci"
"is","jest"
"are","s¥"
"begins","rozpoczyna si©"
"begin","zacz¥†"
" playing make believe."," bawi† si© w Udawanie"
" playing with "," bawi† si© z "
"a toy","zabawka"
"The performers","Wykonawcy"
"a sermon on ","kazanie na temat "
"the story of ","historia "
"reciting the poem ","rycytuje poezje "
"an improvised recital of ","zaimprowizowana recytacja "
"the musical composition ","muzyczna kompozycja "
"improvised music, ","zaimprowizowana muzyka "
"dancing ","taäczy "
"an improvised dance, ","zaimprowizowany taniec "
" in the middle of "," po ˜rodku "
"You continue the sermon.","Kontynuujesz kazanie."
"The sermon continues.","Kazanie ci¥gnie si© dalej."
"You continue the story.","Kontynuujesz historie."
"The story continues.","Historia ci¥gnie si© dalej."
"You begin","Rozpoczynasz"
"The poetry enters","Poezja wchodzi w"
" line."," linia."
"the verse paragraph","paragraf wiersza"
" verse paragraph"," paragraf wiersza"
"the stanza","zwrotka"
" stanza"," zwrotka"
"You continue the poem.","Kontynuujesz poezje"
"The poem continues.","Poezja ci¥gnie si© dalej."
"You enter ","Wchodzisz w "
"The dance enters a new section with ","Taniec wchodzi w now¥ sekcje z "
"The music enters ","Muzyka wchodzi w "
"a simple passage","proste przej˜cie "
"the introduction","wprowadzenie"
"the exposition","ekspozycja"
" of the theme"," motywu"
" of the first theme"," pierwszego motywu"
" of the second theme"," drugiego motywu"
" of the previous passage"," poprzedniego przej˜cia"
"a recapitulation","podsumowanie"
"the synthesis","synteza"
" of the two themes"," dw¢ch motyw¢w"
" of previous passages"," poprzednich przej˜†"
"a verse","wers"
"a chorus","refren"
"the finale","koäc¢wka"
"the coda","koda"
"a bridge-passage","przej˜cie mostowe"
"first ","pierwszy "
"second ","drugi "
"theme","motyw"
"a series of variations","serie zmienno˜ci"
" on the theme"," w motywie"
" on the first theme"," w pierwszym motywie"
" on the second theme"," w drugim motywie"
" and "," i "
"You continue the dance.","Kontynuujesz taniec."
"The dance continues.","Taniec ci¥gnie si© dalej."
"You continue the music.","Kontynuujesz muzyk©."
"The music continues.","Muzyka ci¥gnie si© dalej."
"You conclude your performance.","Koäczysz swoje wyst¥pienie."
"The performers are finished.","Wykonawcy zakoäczyli wyst¥pienie."
"Some performers finish their act.","Cz©˜† wykonawc¢w zakoäczyˆa swoj¥ porcje wyst¥pienia."
" has finished performing."," skoäczyˆ wyst©powa†."
" concludes a performance."," koäczy swe wyst¥pienie"
"You've learned ","Nauczyˆe˜ si© "
"overlords","wˆadcy"
"You feel like you know the basic rules of ","Wydaje ci si© ¾e znasz podstawy "
" now."," teraz."
"town","miasto"
"Your","Tw¢j"
"'s","e"
"I don't remember clearly.","Nie dokˆadnie pami©tam."
" lay"," kˆa˜†"
" forth an awe-inspiring sermon for the ages!"," wygˆoszono inspiruj¥ce kazanie na wieki!"
" artfully deliver"," umiej©tnie dostarczy†"
" a lucid and powerful sermon."," klarowne i mocne kazanie."
" giving a creditable sermon."," dano godne pochwaˆy kazanie."
" just can't give a sermon very well."," nie potrafi† dobrze wygˆosi† kazania."
" dance"," taäczy"
" flawlessly, like someone out of a legend!"," perfekcyjnie, jakby byˆ postaci¥ z legend!"
" dancing exceptionally."," taäczy rewelacyjnie."
" dancing well."," taäczy dobrze."
" get"," zdoby†"
" tangled up."," pl¥cze si©."
" and the "," i "
" are indistinguishable!"," s¥ nie do odr¢¾nienia !"
" delivering a virtuoso performance on the "," Pokazuje sw¥ wirtuozerie na "
" is absolutely flawless."," jest absolutnie perfekcyjne"
"chant","skand"
"song","pie˜ä"
" could nearly pass for the voice of the "," m¢gˆby by† pomylony z gˆosem "
" play"," gra"
" with skill."," z kunsztem"
"sing","˜piewa"
" beautifully."," przepi©knie"
" sound"," d«wi©k"
" vaguely like the intended "," nie do koäca tak jak powinien "
" playing the "," gra "
" well."," dobrze"
"chanting","skanduje"
"singing","˜piewa"
" make"," tworzy"
" a mockery of the "," parodie z "
" with a shameworthy performance."," z wyst¥pieniem godnym wstydu"
"doesn't","nie"
"don't","nie"
" seem to know how to play the "," wygl¥da jakby umiaˆ gra† na "
" sloppily"," niedbale"
" and even forget"," zapomina nawet "
" some of the words."," cz©˜ci sˆ¢w"
" bring"," nadaje"
" the poem to life with this flawless recitation."," ¾ycia poezji poprzez perfekcyjn¥ recytacje."
" choose"," wybiera"
" the perfect phrasing."," perfekcyjne frazy"
" recite"," recytuje"
" the words evocatively."," sˆowa sugestywnie"
" enunciate"," wymawia"
" crisply."," rze˜ko"
" speak"," m¢wi"
" mumble"," mamrocze"
", having completely forgotten the words.","kompletnie zapominaj¥c tekst."
" poorly."," sˆabo"
" weave"," macha"
" a mesmerizing tale!"," fascynuj¥ca opowie˜†!"
" tell"," powiedz"
" the story in vivid detail."," historie w bujnych. detalach"
" telling the tale quite well."," opowiada historie caˆkiem dobrze."
" stumble"," potyka si©"
" over the details."," na detalach"
"It has no writing.","Nie ma tu tekstu."
"It has no pages.","Nie ma stron."
"The pages are blank.","Strony s¥ puste."
"Alias: ","Pseˆdonim: "
"Highest known in organization","Najbardziej znany w organizacji"
"Associated Organization: ","Organizacja stowarzyszona: "
"Associated Plot: ","Powi¥zane pole: "
"We should have made it there by now.","Powinni˜my by† ju¾ na miejscu."
"We should be making better progress.","Powinni˜my robi† wi©ksze post©py."
"We are going the wrong way.","Idziemy w zˆym kierunku."
"We haven't performed for some time.","Nie wyst©powali˜my ju¾ od jakiego˜ czasu."
"We have arrived at our destination.","Jeste˜my na miejscu."
"The oppressor has been overthrown!","Ciemi©¾ca zostaˆ obalony!"
"We must not abandon ","Nie mo¾emy porzuci† "
"We must go back.","Musimy wr¢ci†."
"Empty announcement ","Puste ogˆoszenie "
"spinning ","wiruj¥cy "
"flying ","lataj¥cy "
"It","to"
", but it is deflected by ",", lecz jest odbity przez "
" by the "," przez "
" in the "," w "
" from behind"," od tyˆu"
" from the side"," od boku"
" with "," z "
", but the attack is deflected by ",", lecz atak zostaje odbity przez "
", lightly tapping the target!",", lekko klepi¥c cel!"
", but there is no force!",", lecz nie ma tu impetu!"
", but it passes right through!",", lecz przelatuje na wylot!"
", but the attack passes right through!",", lecz atak przelatuje na wylot!"
", but it glances away!",", lecz odbija si© bez szk¢d!"
", but the attack glances away!",", lecz atak odbija si© bez szk¢d!"
" and the severed part sails off in an arc!"," i odci©ta cze˜† odlatuje!"
"the part","cz©˜†"
" is smashed into the body, an unrecognizable mass!"," jest wmia¾d¾ona w reszt© ciaˆa, tworz¥c nierozpoznawaln¥ mas© ."
" splits in gore!"," rozdziela si© na cz©˜ci!"
" collapses!"," zapada si©!"
"the injured part","zraniona cz©˜†"
" is ripped into loose shreds!"," jest rozerwana na kawaˆki!"
" is torn apart!"," jest rozerwana!"
" and it is mostly cut away from the rest of the torso!"," jest w wi©kszo˜ci odci©ta od reszty ciaˆa!"
" is cloven asunder!"," jest rozczepiony na kawaˆeczki!"
" explodes into gore!"," wybucha w morzu posoki!"
" collapses into a lump of gore!"," zapada si© tworz¥c bryˆ© mi©sa!"
" is crushed!"," jest zmia¾d¾ona! "
"The geldables have been torn away!","Genitalia zostaˆy wyrwane!"
"tearing","rw¥c"
"tearing apart","rozrywaj¥†"
"shattering","rozˆupuj¥†"
"chipping","odˆupuj¥†"
"fracturing","ˆami¥c"
"denting","wgniataj¥c"
"bruising","siniacz¥c"
" it"," j¥"
" apart"," osobno"
" and"," i"
" tearing apart"," rozrywaj¥†"
" shattering"," rozˆupuj¥†"
" tearing"," rw¥c"
" chipping"," odˆupuj¥c"
" fracturing"," ˆami¥c"
" denting"," wgniataj¥†"
" bruising"," siniacz¥c"
"main part","gˆ¢wna cz©˜†"
" through a hole in the "," poprzez dziur© w "
"passing through a hole in the ","przelatuje przez dziur© w "
"jamming the","blokuj¥c "
" part"," cz©˜†"
"through the ","przez "
"out of the wound","z rany"
"breaking away","odˆamuj¥c"
" most of"," wi©kszo˜†"
" half of"," poˆow©"
" a piece of"," cz©˜† "
" the rest of"," reszte"
" through the "," poprzez "
" and spilling "," i rozlewaj¥† "
"your","twoje"
"rancid","zjeˆaczaˆe"
"decomposing","rozkˆadaj¥ce si©"
"rotten","zgniˆe"
"fetid","cuchn¥ce"
"foul","paskudne"
"reeking","smrodliwe"
"filthy","oble˜ne"
"stinking","˜mierdz¥ce"
"It is a gelding strike!","Jest to kastruj¥ce uderzenie!"
"It is a gelding blow!","Jest to kastruj¥cy cios!"
"a major artery","gˆ¢wna arteria "
"an artery","arteria"
" has been opened by the attack"," zostaˆa otwarta przez ten atak"
"many nerves","wiele nerw¢w"
"a motor nerve","unerwienie ruchowe"
"a sensory nerve","unerwienie czuciowe"
"have","zostaˆo"
"has","zostaˆo"
" been severed"," zerwane"
"a ligament","wi©zadˆo"
" has been "," zostaˆo "
"torn","rozerwane"
"sprained","zwichni©te"
"bruised","posiniaczone"
"a tendon","˜ci©gno"
"strained","zwichni©te"
" is ripped to shreds!"," jest rozerwana na kawaˆki!"
" breaks!"," przerwy!"
" attack is interrupted!"," atak zostaˆ przerwany!"
" have"," zostaˆy"
" has"," zostaˆ"
" become enraged!"," wprowadzony w szaˆ!"
" has lodged firmly in the wound!"," pewnie wbiˆ si© w ran©!"
" latch on firmly"," zacisn¥ˆ si© pewnie"
" latches on firmly"," zaciska si© pewnie"
" to "," na "
" latch on firmly!"," zacisn¥ˆ si© pewnie!"
" latches on firmly!"," zaciska si© pewnie!"
" are"," s¥"
" is"," jest"
" propelled away by the force of the blow!"," odrzucone przez siˆ© uderzenia!"
" been knocked unconscious!"," doprowadzony do nieprzytomno˜ci!"
" been stunned again!"," ponownie ogˆuszony"
" been stunned!"," ogˆuszony!"
" having more trouble breathing!"," ma coraz wi©kszy problem z oddychaniem!"
" having trouble breathing!"," ma problem z oddychaniem!"
" feel"," czuje si©"
" looks"," wygl¥da"
" even more sick!"," jescze bardziej choro!"
" sick!"," choro!"
" is injected into the "," zostaˆ wstrzykni©ty w "
" pours over the "," wylewa sie na "
" flows over the "," przepˆywa nad "
" splatters over the "," rozpluskuj© si© na "
" crumbles over the "," krouszy si© na "
" is sucked out of the wound!"," jest wyssany z rany!"
"Independent","Niezale¾ny/a"
"Skills","Umiej©tno˜ci"
"Dragonfire","Smoczy ogieä"
"item","przedmiot"
" have returned."," ju¾ powr¢cili."
" and others have returned."," inni za˜ ju¾ powr¢cili."
" has returned."," powr¢ciˆ."
" has brought back many tales from beyond "," przyni¢sˆ wiele opowie˜ci zza ˜wiat¢w. "
" has brought back a few rumors."," przyni¢sˆ ze sob¥ kilka plotek."
" has brought back a rumor from abroad."," przyni¢sˆ ze sob¥ kilka plotek z zagranicy."
" has arrived."," przybyˆ."
" is visiting."," odwiedza"
", the performance troupe, has arrived.",", trupa artyst¢w przybyˆa."
", a performance troupe, is visiting.","trupa artyst¢w, skˆada wizyt©."
"Spoils Report: ","Raport z ˆup¢w: "
" and others"," i inni"
"Winter","Zima"
"Autumn","Jesieä"
"Summer","Lato"
"Spring","Wiosna"
"The dead walk.  Hide while you still can!","Umarli zacz©li chodzi†. Chowaj si© p¢ki mo¾esz!"
"Forms twisted from their nature, legion of the night.  What hope remains?","Formy wykrzywione ze swej natury, legion nocy. Jaka jest nadzieja?"
"A vile force of darkness has arrived, seeking a parley!","Przybyˆ nikczemny wysˆannik siˆ ciemno˜ci, chce pertraktowa†!"
"The enemy have come and are preparing to lay siege.  They seek a parley!","Wrogowie przybyli i szykuj¥ obl©¾enie. Chc¥ pertraktowa†!"
"An army has come to your lands seeking a parley.","Armia przybyˆa na Twe ziemie i chce pertraktowa†!"
"A vile force of darkness has arrived!","Przybyˆ nikczemny wysˆannik siˆ ciemno˜ci!"
"The enemy have come and are laying siege to the fortress.","Przybyˆ nieprzyjaciel, kt¢ry zaczyna obl©¾enie twierdzy."
"An army is invading!","Armia atakuje!"
"army is located out of bounds: teleporting","Armia znajduje si© poza granicami: teleportacja"
"overlord","wˆadca"
" of "," z "
" has been founded "," zostaˆ odnaleziomy "
", has been conquered and",", zostaˆ podbity i "
", has been","zostaˆo"
" incorporated into your holdings."," wˆ¥czone do Twych ziem."
" has been conquered and now",", zostaˆ podbity i "
" looks to your thriving economy for its future prosperity."," zwraca uwag© na kwitn¥c¥ gospodark© pod k¥tem przyszˆego dobrobytu."
"save","zapis"
" are "," s¥ "
"prostrating ","wyczerpa† "
"themselves","samych siebie"
" before "," przed "
"torturing ","torturuje "
"committing a depraved act upon ","dopuszcza si© niemoralnego aktu na "
"devouring ","pochˆania† "
"admiring ","podziwia "
"burning ","spala "
"shooting ","strzela "
"surrounded by ","otoczony przez "
"massacring ","masakruje "
"fighting with ","walczy† z "
"greeting ","pozdrawia "
"refusing ","odmawia "
"speaking with ","rozmawia z "
"embracing ","ogarni©cie "
"striking down ","uderza "
"raising ","wychowanie "
"hiding ","ukrywa si© "
"praying to ","modli si© do "
"contemplating ","kontempluje "
"cooking ","gotuje "
"engraving ","graweruje "
"impaled on ","nadziany na "
"being flayed by ","jest rozpruwany przez "
"hanging from ","zwisa z "
"being mutilated by ","Okaleczone przez "
"praying","modli si©"
"weeping","ˆkaj¥cy"
"cringing","wzdryga si©"
"screaming","wrzeszczy"
"being tortured","jest torturowany"
"committing a depraved act","dopuszcza si© aktu niemoralnego aktu"
"making a submissive gesture","wykonuje ulegˆy gest"
"in a fetal position","w pozycji prenatalnej"
"smeared out into a spiral","rozmazany w spiral©"
"falling","spada"
"dead","martwy"
"laughing","˜mieje si©"
"being shot","jest ostrzeliwany"
"making a plaintive gesture","wykonuje ¾aˆosny gest"
"melting","roztapia"
"burning","palenie"
"look","wygl¥d"
"looks","patrzy"
" dejected"," przygn©biony"
" terrified"," przera¾ony"
" offended"," obra¾ony"
" confused"," zdezorientowany"
"suffering","cierpi"
"withering away","wi©dnie"
"striking a menacing pose","staj¥c w gro«nej pozie"
"striking a triumphant pose","staj¥c w triumfalnej pozie"
"laboring","pracuj¥cych"
"traveling","podr¢¾uje"
"contemplating","kontempluj¥c"
"cooking","gotuje"
"engraving","graweruje"
"unnaturally contorted","nienaturalnie skr©cone"
"being flayed","jest rozpruwany "
"being mutilated","b©d¥c okaleczonym"
"Untitled","Niezatytuˆowany"
", the deity of ",", b¢stwo "
", depicted as a ",", wyobra¾any jako "
"skeletal ","szkieletowy "
"rotting ","gnij¥cy "
"ghostly ","widmowy "
"female ","kobieta "
"male ","m©¾czyzna "
"the deity of ",", b¢stwo "
"Click a building to link to ","Kliknij budynek, do kt¢rego chcesz utworzy† ˆ¥cze "
"Cannot link to ","Nie mo¾na poˆ¥czy† z "
"Link to ","Poˆ¥cz z "
"will be installed at ","b©dzie zainstalowany w "
"will be installed at target","zostanie zainstalowany w miejscu docelowym"
"Owner: ","Wˆa˜ciciel: "
"Weight: ","Waga: "
"Value: ","Warto˜†: "
"On ","Na "
"In ","W "
"With ","Z "
"View","Widok"
"View stockpile","Podgl¥d zapas¢w"
"Uses","U¾ycia"
"Engraving ","Grawer "
"Specify image","Okre˜l obraz"
"Corrupt Soldier Mood: ","Nastr¢j skorumpowanego ¾oˆnierza: "
"Stumbling obliviously!","Potykaj¥c si© niepostrze¾enie!"
"Sunk into depression...","Pogr¥¾ony w depresji..."
"Throwing a tantrum!","Rzucaj¥c kˆ¢tni©!"
"Enraged at all enemies!","W˜ciekˆy na wszystkich wrog¢w!"
"In a martial trance!","W transie wojennym!"
"Has a horrible fell look!","Ma okropny, upadˆy wygl¥d!"
"Brooding darkly...","Rozmy˜laj¥c ponuro..."
"Has the aspect of one fey!","Ma aspekt jednej z postaci!"
"Peculiarly secretive...","Osobliwa tajemnica..."
"Possessed by unknown forces!","Op©tany przez nieznane siˆy!"
"Stricken by melancholy...","Uderzony przez melancholi©..."
"Crawling around crazed!","Czoˆganie si© dookoˆa, szalone!"
"Running around crazed!","Biegaj¥c w k¢ˆko, wariat!"
"Crawling around babbling!","Raczkuje gaworz¥c!"
"Running around babbling!","Bieganie dookoˆa gaworzy!"
"In a berserk rage!","W dzikim szale!"
"Staring off into space...","Gapi si© w przestrzeä..."
"Corrupt Strange Mood: ","Zepsuty dziwny nastr¢j: "
"Overcome by terror!","Zwyci©¾y† terrorem!"
"In emotional shock!","W szoku emocjonalnym!"
"Overwhelmed by horror!","Przytˆoczony honorem!"
"Experiencing mortal fear!","Do˜wiadczaj¥c ˜miertelnego l©ku!"
"Beside ","Obok "
"herself","jej"
"himself","jego"
" with grief!"," z ¾aˆob¥!"
"Drowning in sadness!","Ton¥† w smutku!"
"Writhing in agony!","Wij¥c si© w agonii!"
"Anguished!","Udr©czony!"
"Lost in despair!","Zatracony w rozpaczy!"
"Completely dismayed!","Caˆkowicie przera¾ony!"
"Distressed!","Zakˆopotany!"
"Taken by a fright!","Ogarni©ty strachem!"
"Wallowing in misery!","Tarzanie si© w nieszcz©˜ciu!"
"Truly mortified!","Naprawd© upokorzony!"
"Shaken to the core!","Wstrz¥˜ni©ty do gˆ©bi!"
"In existential crisis!","W kryzysie egzystencjalnym!"
"Emotionally overloaded!","Przeci¥¾ony emocjonalnie!"
"Pet of ","Chowaniec "
"Somebody","Kto˜"
"Creator of ","Tw¢rca "
"Cannot expel or send away:","Nie mo¾na wydali† ani odesˆa†:"
"Does the expelling","Czy wydalenie"
"Nobility","Szlachectwo"
"Holds elected office","Peˆni wybrany urz¥d"
"Spouse does the expelling","Wsp¢ˆmaˆ¾onek wydaliˆ"
"Spouse is not present","Maˆ¾onek jest nieobecny"
"Spouse is nobility","Maˆ¾onek jest szlachcicem"
"Spouse is elected","Maˆ¾onek jest wybrany"
"Child does the expelling","Dziecko wydaliˆo"
"Child is not present","Dziecko nieobecne"
"Child is nobility","Dziecko jest szlachcicem"
"Child is elected","Dziecko jest wybrane"
"Expel","wygna†"
"Send to ","Wy˜lij do "
"Send away","Ode˜lij"
"Cancel","Anuluj"
"Overview","Podgl¥d"
"Items","Przedmioty"
"Health","Zdrowie"
"Rooms","Pokoi"
"Labor","praca"
"Relations","Relacje"
