"General","Gˆ¢wne"
"Writing Material (Desired): ","Materiaˆ pi˜mienny (po¾¥dany): "
"Goblets (Desired): ","Kielichy (po¾¥dane): "
"Stored Instruments (Desired): ","Instrumenty przechowywane (po¾¥dane): "
"Dance floor in common area: ","Parkiet taneczny w cz©˜ci wsp¢lnej: "
"Rented rooms (Total): ","Wynajmowane pokoje (og¢ˆem): "
"Temple Complex, ","Kompleks ˜wi¥tynny, "
"Temple, ","—wi¥tynia, "
"Shrine, ","Relikwiarz, "
"Priest: ","Kapˆan: "
"High priest: ","Arcykapˆan: "
" worshipper"," wielbiciel"
" needed"," potrzebne"
"Agreed to build temple","Zgodziˆ si© na budow© ˜wi¥tyni"
"Agreed to build temple complex","Zgodziˆ si© na budow© kompleksu ˜wi¥tynnego"
"Tavern Keeper","Karczmarz"
"Monster Slayer","owca Potwor¢w"
"No workers","Brak pracownik¢w"
"No members","Brak czˆonk¢w"
"Jeweler","Jubiler"
"Kiln","Piec do wypalania cegˆy"
"Smelter","Huta"
"Loom","Warsztat Tkacki"
"Still","Destylarnia"
"Tanner","Garbarz"
"Fishery","owisko"
"Kitchen","Kuchnia"
"Quern","½arna"
"Hive","Ul"
"Bed","¢¾ko"
"Table","St¢ˆ"
"Cabinet","Szafka"
"Slab","Pˆyta"
"Statue","Statua"
"Door","Drzwi"
"Wall","—ciana"
"Floor","Podˆoga"
"Ramp","Rampa"
"Bridge","Most"
"Fortification","Fortyfikacja"
"Support","Podpora"
"Lever","D«wignia"
"Well","Studnia"
"Floodgate","—luza"
"Windmill","Mˆyn"
"Millstone","Kamieä Mˆyäski"
"Cage","Klatka"
"Weapon","Broä"
"Ballista","Balista"
"Catapult","Katapulta"
"Cannot build at highest level","Nie mo¾na budowa† na najwy¾szym poziomie"
"No mud/soil for farm","Brak bˆota/gleby pod upraw©"
"to","do"
"bedrooms.","sypialnie."
"a colony of ","kolonia "
"many ","wiele "
"a swarm of ","r¢j "
"Miasma","Wyziew"
"Mist","Mgˆa"
"Steam","Para"
"An Ocean Wave","Fala oceaniczna"
"Sea Foam","Piana morska"
"Lava Mist","Mgˆa lawy"
"Magma Mist","Mgˆa magmy"
"Smoke","Dym"
"Fire","Ogieä"
"A Web","Sie†"
"A Campfire","Ognisko"
"A pile of ","Kupa "
"A small pile of ","Maˆa kupka "
"A dusting of ","Warstwa "
"A pool of ","Kaˆu¾a "
"A smear of ","Rozmazany "
"A spattering of ","Odprysk "
"A Fire","Ogieä"
"Stagnant salt water [","Sˆona woda stoj¥ca ["
"Stagnant water [","Stoj¥ca woda ["
"Salt water [","Sˆona woda ["
"Water [","Woda ["
"Lava [","Lawa ["
"Track/Spoor: ","—lad "
"unintelligible","niezrozumiaˆy"
"right ","prawo "
"left ","lewo "
" print"," Odcisk"
" imprint"," Pi©tno"
"/NE","/PˆnWsch"
"/NW","/PˆnZch"
"/SE","/PˆdWsch"
"/SW","/PˆdZch"
"/yours or companion's","/tw¢j lub twojego towarzysza"
"No recommendations available","Brak dost©pnych rekomendacji"
"No positions available","Brak dost©pnych pozycji"
" meets with "," spotyka si© z "
", and I aim to return it home.",", i zamierzam zwr¢ci† go do domu."
"our people","nasi ludzie"
" trees, butcher."," drzewa, rze«nik."
"I will try to return next year as I am able.","Postaram si© wr¢ci† w przyszˆym roku jak b©d© m¢gˆ."
"west","zach¢d "
"east","wsch¢d "
"south","poˆudnie "
"north","p¢ˆnoc "
"in 1 day","w 1 dzieä "
"in ","w "
"Low Precision","Maˆa Precyzja"
"You have no appropriate ingredients.","Nie masz odpowiednich skˆadnik¢w."
"Ready","Gotowy"
"Large Cut Gems","Du¾e Przyci©te Krysztaˆy"
"Murder","Morderstwo"
"Bribery","Przekupstwo"
"Embezzlement","Sprzeniewierzenie"
"Vandalism","wandalizmy"
"Theft","kradzie¾"
"Robbery","Rabunek"
"Espionage","Szpiegostwo"
" against "," przeciwko "
"Treason","Zdrada"
"Blood-drinking","Picie krwi"
"somebody","kto˜"
"Murder.","Morderstwo."
"Plots","Pola"
"Organizations","Organizacje"
"Org: ","Organizacja: "
"One member","Jeden czˆonek"
" members"," czˆonkowie"
"after wandering","po bˆ¥dzeniu my˜lami"
"after being unable to wander","po byciu niemo¾nym do bˆ¥dzenia my˜lami"
"after helping somebody","po pomaganiu komu˜"
"after being unable to help anybody","po byciu niemo¾nym pomocy komukolwiek"
"after thinking abstractly","po abstrakcyjnym my˜leniu"
"after a lack of abstract thinking","po braku abstrakcyjnego my˜lenia"
" wood"," drewno"
"more acquiescing","wi©cej przyzwolenia"
"peace","pok¢j"
"What happened?","Co si© staˆo?"
"I am your loyal ","Jestem Twoim lojalnym "
"  The task is accomplished."," Zadanie wykonane."
" is dead!"," zgin¥ˆ!"
"I wish to become a ","Chce zosta† "
"tavern keeper","karczmarz"
"mercenary","najemnik"
"Would you like to join ","Chciaˆby˜ doˆ¥czy† "
"Please help me!","Prosz© pom¢¾ mi!"
"I hate you.","Nienawidz© ci©!"
"The enemy!","Wr¢g!"
"Murderer!","Morderca!"
"beasts","bestie "
"the beast","bestia"
"bandits","bandyci "
"Please guide me to ","Prosz© poprowad« mnie do "
"Please guide me to you.","Prosz©, zaprowad« mnie do siebie."
"It's not my problem.","To nie jest m¢j problem."
"It's for the best.","Tak b©dzie lepiej."
"I hate them.","Nienawidz© ich."
"I am afraid of them.","Boj© si© ich."
"the brewing trouble","kˆopoty z warzeniem"
"You must kill ","Musisz zabi† "
"  This "," To "
"  Enjoy the hunt!"," Miˆego polowania!"
"torture","tortura"
"a ceremony","ceremonia"
"general ill feelings over past historical events","og¢lne zˆe uczucia w stosunku do przeszˆych wydarzeä historycznych"
"the issue of their godlessness","kwestia ich bezbo¾no˜ci"
"a house","dom"
"a tree","drzewo"
"I have no idea.","Nie mam pomysˆu."
"Goodbye.","Do widzenia."
"you","ty"
" forever!"," na zawsze!"
"Nevermind.","Niewa¾ne."
"Let's trade.","Pohandlujmy."
"What's available here?","Co jest dost©pne?"
"My good friend.","M¢j dobry przyjaciel."
"It is good to see you here.","Dobrze jest ci© tu widzie†"
"  All drinks are free, of course!"," Oczywi˜cie wszystkie napoje s¥ bezpˆatne!"
"Tavern keeper!  ","Karczmarz! "
"this library","ta biblioteka "
"this market","ten rynek"
"this tomb","ten grobowiec "
"this dungeon","ten loch "
"these catacombs","te katakumby "
"this tower","ta wie¾a "
"Intruder!  Intruder!","Intruz! Intruz!"
", taking over my duties and responsibilities?",", zabra† moje obowi¥zki i odpowiedzialno˜† ?"
"It has always been my dream to start a family.","Moim marzeniem zawsze byˆo zaˆo¾y† rodzin©."
"Why are you traveling?","Czemu podr¢¾ujesz?"
"Tell me about the local ruler.","Opowiedz mi o lokalnym przyw¢dcy. "
"Is it raining?","Czy pada descz?"
"What a strange place!","C¢¾ za dziwne miejsce!"
"It is good to be outdoors.","Dobrze by† na zewn¥trz."
"I would prefer to be outdoors.","Wolaˆbym by† na zewn¥trz."
"It is good to be indoors.","Dobrze jest by† w wewn¥trz."
"Where am I?","Gdzie jestem?"
"Tell me about this area.","Opowiedz mi o tym miejscu."
"Never.","Nigdy."
"Drop ","Upu˜† "
"Perhaps you'd be willing to trade ","By† mo¾e byˆby˜ ch©tny do handlu "
"Where is ","Gdzie jest "
"How are you feeling right now?","Jak si© teraz czujesz?"
"Really?  Please come closer.","Naprawd©? Prosz© podejd« bli¾ej."
"I don't work here.","Nie pracuj© tu."
"Who?","Kto?"
"I started my pilgrimage in ","Rozpocz¥ˆem moj¥ pielgrzymk© w "
"I'm preparing to travel to ","Przygotowuj© si© na podr¢¾ do   "
"I'm traveling to ","Podr¢¾uje do  "
"I'm not sure.","Nie jestem pewny."
"I'm returning to my home in ","Wracam do mojego domu w "
"wife","¾ona"
"husband","m¥¾"
"I have rescued ","Uratowaˆem "
"The villages ","wioski "
"mother","matka"
"father","ojciec"
"parent","rodzic"
"son","syn"
"daughter","c¢rka"
"child","dziecko "
"grandmother","babcia"
"grandfather","dziadek "
"grandchild","wnuk"
"brother","brat"
"sister","siostra "
"sibling","rodzeästwo "
"aunt","ciocia "
"uncle","wujek"
"niece","siostrzenica "
"nephew","bratanek"
"cousin","kuzyn"
"!  Best price in town","! Najlepsze ceny w mie˜cie "
"just outside town","na obrze¾ach miasta"
"Good","Dobrze "
"there","tam"
"man","m©¾czyzna "
"woman","kobieta "
"We will fight no more.","Nie b©dziemy wi©cej walczy†."
"I will fight no more.","Nie b©d© wi©cej walczy†."
"Never!","Nigdy!"
"Maybe you're right.","Mo¾e masz racj©."
"How dare you?!","Jak mogˆe˜?!"
"I disagree.","Nie zgadzam si©"
"me","ja"
"called the ","zwany "
" is one of the fundamental dance moves.  "," to jeden z podstawowych ruch¢w tanecznych. "
" the fundamental dance move.  "," podstawowy ruch tancerski, "
" the fundamental dance position.  "," podstawowa pozycja taneczna. "
" is one of the fundamental dance positions.  "," to jedna z podstawowych pozycji tanecznych. "
"First, ","Po pierwsze, "
"Finally, ","W koäcu, "
"Then ","Potem "
"There","Tam"
" should be"," powinno by†"
" a series of "," serie "
" graceful"," wdzi©czny"
" serene"," spokojny"
" calm"," spokojny"
" grotesque"," groteskowy"
" crude"," surowy"
" refined"," rafinowany"
" understated"," zrozumiany"
" delicate"," delikatny"
" elaborate"," skomplikowany"
" expressive"," wyrazisty"
" strong"," silny"
" large"," spory"
" weightless"," niewa¾ki"
" fluid"," pˆynny"
" undulating"," falisty"
" soft"," miekkie"
" jerking"," szarpanie"
" sharp-edged"," ostre kraw©dzie"
" straight-lined"," prosto"
" high"," wysoki"
" low"," niski"
" aborted"," przerwane"
" partially realized"," cz©˜ciowo wykonane"
" energetic"," energetyczny"
" passionate"," pasjonuj¥cy"
" vivacious"," ¾ywy"
" joyous"," radosny"
" proud"," dumny"
" flamboyant"," ekstrawagancki"
" lively"," ¾ywy"
" spirited"," porywaj¥cy"
" vigorous"," vigorous"
" intense"," intensywny"
" aggressive"," agresywny"
" powerful"," pot©¾ny"
" sluggish"," powolny"
" relaxed"," zrelaksowany"
" passive"," bierny"
" subtle"," subtelny"
" sensual"," zmysˆowy"
" debauched"," rozwi¥zˆy"
" twisting"," pokr©tny"
" sprightly"," rze˜ki"
" sinuous"," falisty"
" repeated"," powtarzaj¥cy si©"
" counterclockwise"," przeciwny do ruchu wskaz¢wek zegara"
" clockwise"," zgodnie z ruchem wskaz¢wek zegara"
" eighth"," ¢sma"
" quarter"," kwadrans"
" half"," p¢ˆ"
" move"," ruch"
" turn"," obr¢t"
" facial expression"," wyraz twarzy"
" hand gesture"," gest r©ki"
" run"," bieg"
" kick"," kopniak"
" left kick"," lewy kopniak"
" right kick"," prawy kopniak"
" mirrored"," lustrzane odbicie"
" with"," z"
" is a "," jest "
"sacred","˜wi©te"
" group"," grupa"
" solo"," samotnie"
"group ","grupa "
"celebration","˜wi©towanie"
"solo ","samotnie "
"participation","branie udziaˆu"
"performance","wykonywanie"
"war","wojna"
" for a single pair"," dla pojedynczej pary"
" dancers"," tancerze"
" pairs"," pary"
" originating in "," maj¥ce pocz¥tek w "
"in a double circle","w podw¢jnym okr©gu"
"in a circle","w okr©gu"
"in several lines","w wielu liniach"
"in a single line","w jednej linii"
"very slowly ","bardzo wolno "
"slowly ","wolno "
"slower and slower ","wolniej i wolniej "
"faster and faster ","szybciej i szybciej "
" rhythm"," rytm"
"with the music","z muzyk¥"
"The partners ","Partnerzy "
"through touch","poprzez dotyk"
"calm","spok¢j"
"grotesque","groteska"
"delicate","Delikatny"
"strong","silny"
"fluid","ciekˆy"
"soft","mi©kki"
"high","wysoki"
"low","niski"
"aborted","opuszczony"
"partially realized","cz©˜ciowo wykonany"
"joyous","Wesoˆy"
"aggressive","agresywny"
"powerful","pot©¾ny"
"relaxed","wypocz©ty"
"passive","bierny"
"repeated ","powtarzany "
"half ","p¢ˆ "
"hand gestures","gesty r©ki"
"runs","biegi"
"kicks","kopniaki"
"left kicks","lewe kopniaki"
"right kicks","prawe kopniaki"
"moves","ruchy"
"movement ","ruch "
"shadowed","zacieniony"
"mirrored","odbity"
"The dance begins with the ","Taniec zacz¥ˆ si© z "
"The dance enters a new section with the ","Taniec wchodzi w now¥ sekcje z "
"next ","nast©pny "
"introduction","wprowadzenie"
"exposition","wystawa"
"synthesis","synteza"
"chorus","ch¢r"
" of the music.  "," muzyki. "
"to the ","do "
"There are partner changes ","Zmiany partner¢w "
"There is a basic movement ","Podstawowe ruchy "
"This","To"
" section is"," sekcja jest"
"negative ","negatyw "
"one","jeden"
"two","dwa"
"three","trzy"
"four","cztery"
"five","pi©†"
"six","sze˜†"
"seven","siedem"
"eight","osiem"
"nine","dziewi©†"
"ten","dziesi©†"
"eleven","jedena˜cie"
"twelve","dwana˜cie"
"thirteen","trzyna˜cie"
"fourteen","czterna˜cie"
"fifteen","pi©tna˜cie"
"sixteen","szesna˜cie"
"seventeen","siedemna˜cie"
"eighteen","osiemna˜cie"
"nineteen","dziewi©tna˜cie"
" billion"," miliard"
" million"," milion"
" thousand"," tysi¥†"
" hundred"," sto"
"twenty","dwadzie˜cia"
"thirty","trzydzie˜ci"
"forty","czterdzie˜ci"
"fifty","pi©†dziesi¥t"
"sixty","sze˜†dziesi¥t"
"seventy","siedemdziesi¥t"
"eighty","osiemdziesi¥t"
"ninety","dziewi©†dziesi¥t"
"Negative ","Negatyw "
"Zeroth","Zerowy"
"First","Pierwszy"
"Second","Drugi"
"Third","Trzeci"
"Fourth","Czwarty"
"Fifth","Pi¥ty"
"Sixth","Sz¢sty"
"Seventh","Si¢dmy"
"Eighth","àsmy"
"Ninth","Dziewi¥ty"
"Tenth","Dziesi¥ty"
"Eleventh","Jedenasty"
"Twelfth","Dwunasty"
"Thirteenth","Trzynasty"
"Fourteenth","Czternasty"
"Fifteenth","Pi©tnasty"
"Sixteenth","Szesnasty"
"Seventeenth","Siedemnasty"
"Eighteenth","Osiemnasty"
"Nineteenth","Dziewi©tnasty"
" sculpture has melted!"," rze«ba si© stopiˆa!"
"Digging designation cancelled: warm stone located.","Anulowano oznaczenie kopania: znaleziono ciepˆy kamieä."
"Digging designation cancelled: damp stone located.","Anulowano oznaczenie kopania: znaleziono wilgotny kamieä."
"Shop","Sklep"
"Trade Depot","Skˆad handlowy"
"Nest","Gniazdo"
"Nest Box","Gniazdo"
"Wagon","W¢z"
"Carpenter's Workshop","Warsztat cie˜li"
"Farmer's Workshop","Warsztat rolnika"
"Craftsman","Rzemie˜lnik"
"Magma Forge","Ku«nia Magmy"
"'s Workshop","warsztat"
"Siege Workshop","Warsztat Obl©¾niczy"
"Leather Works","Warsztat Sk¢rzany"
"Tool","Narz©dzie"
"Workshop","Warsztat"
"Zone","Strefa"
"Farm Plot","Dziaˆka Rolna"
"Glass Furnace","Piec szklany"
"Wood Furnace","Piec na drewno"
"Magma Smelter","Huta magmowa"
"Magma Glass Furnace","Szklana magmowa huta"
"Furnace","Piec"
"Pressure Plate","Pˆyta naciskowa"
"Cage Trap","Klatka puˆapka"
"Stone-Fall Trap","Puˆapka na kamieä"
"Weapon Trap","Puˆapka na broä"
"Trap","Puˆapka"
"Siege Engine","Silnik obl©¾niczy"
"Floor Hatch","Wˆaz podˆogowy"
"Wall Grate","Krata ˜cienna"
"Floor Grate","Krata podˆogowa"
"Gear Assembly","Zesp¢ˆ przekˆadni"
"Horizontal Axle","O˜ horyzontalna"
"Vertical Axle","O˜ wertykalna"
"Archery Target","Cel ˆuczniczy"
"Screw Pump","Pompa ˜rubowa"
"Water Wheel","Mˆyn wodny"
"Burial Receptacle","Pojemnik na poch¢wek"
"Seat","Siedzenie"
"Animal Trap","Puˆapka na zwierz©ta"
"Weapon Rack","Stojak na bronie"
"Armor Stand","Stojak na zbroje"
"Container","Pojemnik"
"Traction Bench","awka trakcyjna"
"Dirt Road","Droga wydeptana w ziemi"
"Paved Road","Wybrukowana droga"
"Glass Window","Szklane okno"
"Gem Window","Okno z kamieni szlachetnych"
"Stockpile","Skˆadowisko"
"Up Stair","Schody do g¢ry"
"Down Stair","Schody w d¢ˆ"
"Up/Down Stair","Schody w g¢r©/d¢ˆ"
"Track (N)","Tor (N)"
"Track (S)","Tor (S)"
"Track (E)","Tor (E)"
"Track (W)","Tor (W)"
"Track (NS)","Tor (NS)"
"Track (NE)","Tor (NE)"
"Track (NW)","Tor (NW)"
"Track (SE)","Tor (SE)"
"Track (SW)","Tor (SW)"
"Track (EW)","Tor (EW)"
"Track (NSE)","Tor (NSE)"
"Track (NSW)","Tor (NSW)"
"Track (NEW)","Tor (NEW)"
"Track (SEW)","Tor (SEW)"
"Track (NSEW)","Tor (NSEW)"
" Lever"," D«wignia"
"Custom Workshop","Niestandardowy Warsztat"
" Door"," Drzwi"
" Floor Grate"," Kratownica Podˆogowa"
"Vertical ","Pionowy "
" Floodgate"," —luza"
" Rope"," Lina"
" Chain"," aäcuch"
" Archery Target"," Cel uczniczy"
" Gear Assembly"," Zesp¢ˆ Przekˆadni"
"Horizontal ","Poziomy "
" Axle"," O˜"
" Pillar"," Filar"
"Upright ","Pionowo "
"Retracted ","Wycofany "
"Spears","Wˆ¢cznie"
" Casket"," Szkatuˆka"
" Sarcophagus"," Sarkofag"
" Coffin"," Trumna"
" Chair"," Krzesˆo"
" Throne"," Tron"
" Animal Trap"," Puˆapka na zwierz©ta"
" Table"," St¢ˆ"
" Cabinet"," Gablota"
" Weapon Rack"," Stojak na broä"
" Armor Stand"," Stojak na zbroj©"
" Chest"," Skrzynia"
"Dirt","Brud"
" Road"," Droga"
" Bridge"," Most"
" Statue"," Pos¥g"
"Glass","Szkˆo"
" Window"," Okno"
"Armor ","Zbroja "
"Weapon ","Broä "
"Animal ","Zwierz© "
"Food ","Jedzenie "
"Furniture ","Meble "
"Corpse ","Zwˆoki "
"Refuse ","Odpadki "
"Stone ","Kamieä "
"Ammo ","Amunicja "
"Coins ","Monety "
"Gem ","Kamieä szlachetny "
"Finished Goods ","Gotowe wyroby "
"Leather ","Sk¢ra "
"Cloth ","Pˆ¢tno "
"Wood ","Drewno "
"Stockpile #","Skˆadowisko #"
" have hatched."," wykluˆy si©."
"You've caught a ","Zˆapaˆe˜ "
"Your trap was robbed of the ","Twoja puˆapka zostaˆa okradziona z "
" closes."," zamyka si©."
"You hear ","Sˆyszysz "
"distant ","odlegˆy "
"nearby ","bliski "
" opens."," otwiera si©."
" has constructed a masterpiece!"," skonstruowaˆ arcydzieˆo!"
"A masterwork of ","Arcydzieˆo "
" has been lost!"," zostaˆ zgubiony!"
"Home","Dom"
"Throneroom","Sala Tronowa"
"Entrance","Wej˜cie"
"Treasury","Skarbiec"
"Guard post","Posterunek stra¾y"
"Noble quarters","Kwatery Szlachcic¢w"
"Captive Room","Pok¢j niewoli"
"Tower Top","Szczyt wierzy"
"Courtyard","Dziedziniec"
"Secret Library","Tajna biblioteka"
"Market Stall","Stragan"
"Tent","Namiot"
"Dungeon Cell","Kom¢rka lochu"
"Animal Workshop","Warsztat Zwierz©cy "
"Cloth Workshop","Warsztat Sukienniczy "
"Tanning Workshop","Warsztat Garbarski"
"Cloth Clothing Workshop","Warsztat Odzie¾owy"
"Leather Clothing Workshop","Warsztat Odzie¾y Sk¢rzanej"
"Bone Carving Workshop","Warsztat Rze«bienia w Ko˜ci"
"Gem Cutting Workshop","Warsztat Jubilerski "
"Weaponsmithing Workshop","Warsztat Zbrojeniowy "
"Bowmaking Workshop","Warsztat uczniczy"
"Blacksmithing Workshop","Warsztat Kowalski"
"Armorsmithing Workshop","Warsztat Pˆatnerski "
"Metal Crafting Workshop","Ku«nia "
"Carpentry Workshop","Warsztat Stolarski"
"Stoneworking Workshop","Warsztat Kamieniarski"
"Forging Workshop","Warsztat Kucia"
" Or "," Lub "
", Etc.",", Itd."
"This is the ","To jest "
" currency of "," waluta "
" from the year "," od roku "
" from an unknown year"," z nieznanego roku "
" under "," pod "
"master","mistrz"
" on the embedded "," na osadzonym "
" throw"," rzuca†"
" throws"," rzuca"
" adjust"," dostosowa†"
" adjusts"," dostosowuje si©"
" on "," na "
" struggle"," walka"
" struggles"," zmagania"
" in vain against the grip of "," na pr¢¾no w u˜cisku "
" shake"," potrz¥sn¥†"
" shakes"," trz©sie si©"
" around by the "," wok¢ˆ przez "
" is ripped away and remains in "," zostaje wyrwany i pozostaje w "
" mouth"," usta"
" grip"," chwyt"
" lose"," straci†"
" loses"," przegrywa"
" hold of the "," trzyma† si© "
"strangle","udusi†"
" pass"," podawa†"
" passes"," Karnety"
" out."," na zewn¥trz."
"grab","zˆapa†"
"grabs","chwyta"
" has moved out of range!"," wyszedˆ poza zasi©g!"
"push","naciska†"
"pushes","popycha"
" let"," pozwoli†"
" lets"," pozwala"
" drop away as "," odrzu† jak "
"attack","atak"
"attacks","ataki"
" catch"," zˆapa†"
" catches"," ˆapie"
" attack "," atak "
" attacks "," ataki "
" but "," ale "
" scramble"," wdrapywa† si©"
" strike at "," uderzy† w "
" strikes at "," uderza w "
" but the shot is blocked!"," ale strzaˆ jest zablokowany!"
" scrambles"," szykuje si©"
" roll"," przewr¢t"
" rolls"," rolki"
" jump"," skok"
" jumps"," skacze"
" away"," z dala"
" but the shot is "," ale strzaˆ jest "
"deftly ","zr©cznie "
"just barely ","tylko ledwo "
"easily ","z ˆatwo˜ci¥ "
"parried","sparowany"
" away from "," z dala od "
" but the shot is blocked"," ale strzaˆ jest zablokowany"
" block "," blok "
" blocks "," Bloki "
"narrowly ","w¥sko "
"deflected","odchylony"
" bat "," nietoperz "
" bats "," nietoperze "
" aside"," na boku"
"silently ","bezszelestnie "
"rewards","nagrody"
"a tavern","tawerna "
" a murderer."," morderca"
"something of a hunter","co˜ z ˆowc¥"
" an enemy fighter."," wrogi wojownik."
"an untitled work","praca bez tytuˆu"
"Art?  More like wasted opportunity.","Sztuka? Bardziej jak zmarnowana okazja."
"The amount of practice that goes into mastering a skill is so impressive.","Ilo˜† †wiczeä, kt¢re trzeba wˆo¾y† w perfekcyjne opanowanie umiej©tno˜ci jest, jest imponuj¥ca."
"Did you hear the one about the ","Czy sˆyszaˆe˜ o "
"I feel such love!","Czuj© przejmuj¥c¥ miˆo˜†!"
"I am very aroused!","Jestem bardzo podniecony!"
"I am so nervous!","Jestem tak zdenerwowany!"
"Such nostalgia!","Co za nostalgia!"
"I am so proud!","Jestem taki dumny!"
"I can't take it!","Nie mog© tego wzi¥†. "
"This is great!","To jest ˜wietne!"
"I accept this.","Akceptuje to."
"That's amazing!","To niesamowite!"
"I'm very angry.","Jestem bardzo zˆy."
"That's very annoying.","To bardzo denerwuj¥ce."
"It's really boring.","To jest naprawd© nudne."
"I am very disappointed.","Jestem bardzo rozczarowany."
"So disgusting...","Obrzydliwe..."
"I feel so free.","Czuj© si© tak wolny"
"It makes me so gloomy.","To sprawia, ¾e jestem tak ponury."
"I'm very grateful.","Jestem bardzo wdzi©czny."
"I feel so guilty.","Czuje si© winny."
"I am so happy.","Jestem taki szcz©˜liwy."
"I am very hopeful.","Jestem peˆen nadziei. "
"I feel hopeless.","Czuje si© beznadziejnie. "
"I'm very lonely.","Jestem bardzo samotny."
"I'm very nervous.","Jestem bardzo nerwowy."
"I'm feeling very nostalgic.","Czuje si© bardzo nostalgicznie."
"I'm quite optimistic.","Jestem do˜† optymistyczny"
"I'm very resentful.","Jestem bardzo ura¾ony."
