"General","Загальне"
"rd","-й"
"th","-й"
" was conquered"," було завойовано"
" by "," за допомогою "
" from "," з "
"Opening file...","Відкриття файлу..."
"Finishing...","Закінчення..."
"the criminals","злочинці"
"Quit","Вихід"
"Okay","Добре"
"Miner","Шахтар"
"Woodcutter","Лісоруб"
" praying"," молиться"
" weeping"," ридає"
" cringing"," уклін"
" screaming"," репетує"
" being tortured"," покалічений"
" committing a depraved act"," здійснює розпустні дії"
" making a submissive gesture"," висловлює покірність"
" in a fetal position"," в позі зародка"
" smeared out into a spiral"," закручений у спіраль"
" falling"," падає"
" dead"," загиблий"
" laughing"," сміється"
" being shot"," підстрілений"
" making a plaintive gesture"," робить жалібний жест"
" melting"," плавиться"
" burning"," горить"
" suffering"," страждає"
" withering away"," в'янучим"
" striking a menacing pose"," прийняв загрозливу позу"
" striking a triumphant pose"," прийняв позу тріумфатора"
" laboring"," працює"
" contemplating"," споглядає"
" cooking"," готує"
" engraving"," ґравірує"
" unnaturally contorted"," неприродно вивернутий"
" being flayed"," випотрошений"
" being mutilated"," покалічений"
" torturing "," катує "
" committing a depraved act upon "," здійснює розпусні дії над "
" devouring "," поїдає "
" admiring "," захоплений "
" burning "," горить "
" shooting "," стріляє "
" surrounded by "," оточений "
" massacring "," влаштував бійку "
" fighting with "," бореться з "
" greeting "," вітає "
" refusing "," відмовляється "
" speaking with "," розмовляє з "
" embracing "," обіймає "
" striking down "," вражає "
" raising "," підіймає "
" hiding "," приховує "
" praying to "," молиться "
" contemplating "," споглядає "
" cooking "," готує "
" engraving "," ґравірує "
" impaled on "," насаджений на "
" being flayed by "," випотрошений "
" hanging from "," висить на "
" being mutilated by "," покалічений "
"Hyphen Compound","Через дуфіс"
"Prefix","Префікс"
"Tree","Дерево"
"outcast ","вигнанець "
"nomadic ","бродячий "
"migrating ","мігруючий "
"local ","місцевий "
"civilization","цивілізація"
"government","уряд"
"vessel","судно"
"religion","релігія"
"group","група"
"Spikes","Кілки"
"cloth","тканина"
"bone","кістка"
"soap","мило"
"tooth","зуб"
" straps "," повертає у ножни "
" draws "," вихоплюе "
" drinks "," п'є "
"blowgunner","духовий стрілець"
"Macros","Макроси"
"Use ","Використати "
"effortlessly ","без зусиль "
"Mouse: ","Миша: "
"nothing","ніщо"
"monster","монстр"
"slayer","вбивця"
"is short and very fat","короткий і дуже товстий"
"boiled","варений"
"melted","розплавлений"
"Histories of ","Розповіді про"
"Gluttony","обжерливість"
"Cupidity","скарність"
"Jealousy","ревнощі"
"Avarice","зажерливість"
"Greed","жадібність"
"Industry","виробництво"
"Enterprise","підприємливість"
"Resourcefulness","винахідливість"
"Determination","рішучість"
"Mettle","відвагу"
"Dynamism","стрімкість"
"Toil","труд"
"Diligence","старанність"
"Exertion","напруження"
"Tenacity","стійкість"
"  Dwarf Fortress: Arena  "," Dwarf Fortress: Арена "
"Languages...","Мови..."
"Colors...","Кольори..."
"spring","весна"
"Start new game in existing world","Почати нову гру в існуючому світі"
"About DF","Про гру"
"lord","лорд"
"lords","лорди"
"lady","леді"
"ladies","леді"
" was stolen"," було вкрадено"
" from"," з"
" as "," як "
", and ",", і "
"the Monument","Монумент"
"high ","високий "
"exalted ","піднесений "
"holy ","святий "
"You have discovered a downward passage.","Ви знайшли прохід вниз."
"You have discovered a cave entrance.","Ви знайшли вхід до печери."
" has engraved a masterpiece!"," Було викарбувано шедевр!"
"Tooth","Зуб"
"Yarn","Прядиво"
"Plant Cloth","Рослинна тканина"
"Stone","Камінь"
"Cloth","Тканина"
"Clay","Глина"
"Gem","Самоцвіт"
"mountain","гірський"
"You are too kind.","Ви надто добрі."
" seems "," схоже "
"at most","щонайбільше"
"Library","Бібліотека"
"Temple","Храм"
"Sand","Пісок"
"No relevant skills","Не має відповідних навичок"
"Fighter","Боєц"
"Archer","Стрілець"
"skilled","підготовлений"
" squad"," загін"
"Furnaces","Печі"
"Ashery","Зольник"
"Carpenter","Тесля"
"Jeweler","Ювелір"
"Mechanic","Механік"
"Kiln","Піч для випалу"
"Smelter","Плавильня"
"Loom","Ткацька"
"Dyer","Фарбар"
"Still","Броварня"
"Butcher","М'ясник"
"Tanner","Дубильник"
"Fishery","Рибальська лавка"
"Kitchen","Кухня"
"Farmer","Землероб"
"Quern","Ручний млин"
"Hive","Вулик"
"Bed","Ліжко"
"Table","Стіл"
"Cabinet","Шафа"
"Slab","Меморіал"
"Statue","Статуя"
"Bookcase","Книжкова шафа"
"Door","Двері"
"Wall","Стіна"
"Floor","Підлога"
"Ramp","Пандус"
"Bridge","Міст"
"Fortification","Бійниця"
"Support","Несуча колона"
"Track","Шляхи"
"Lever","Важіль"
"Well","Криниця"
"Floodgate","Шлюз"
"Windmill","Вітряк"
"Millstone","Жорно"
"Rollers","Ролікі"
"Cage","Клітка"
"Weapon","Зброя"
"Ballista","Баліста"
"Catapult","Катапульта"
"Water","Вода"
"bed","ліжко"
"a colony of ","колонія "
"many ","багато "
"Smoke","Дим"
"Fire","Вогонь"
"A Web","Павутина"
"A Fire","Вогонь"
"Salt water [","Солона вода ["
"Water [","Вода ["
"Lava [","Лава ["
"Magma [","Магма ["
"right ","правий "
"left ","лівий "
" imprint"," відбиток"
"/NE","/ПнСх"
"/NW","/ПнЗх"
"/SE","/ПдСх"
"/SW","/ПдЗх"
"west","захід"
"in ","в "
" days"," днів"
"when ","коли "
"always (at least 0%)","завжди (щонайменше 0%)"
"when empty","коли порожньо"
"teeth","зуби"
" day"," день"
"Murder.","Вбивство."
"Vandalism.","Вандалізм."
" wood"," дерево"
"the color ","колір "
"in","в"
"as","як"
"tavern keeper","корчмар"
"doctor","лікар"
"surgeon","хірург"
"bone doctor","костоправ"
"I hate you.","Я тебе ненавиджу."
"The enemy!","Ворог!"
"Murderer!","Вбивця!"
"Ahhh...","Аххх..."
"Don't talk to me.","Не розмовляйте зі мною."
"Well, let's see...","Що ж, давай поглянемо..."
"  we've got "," у нас тут "
"deaths","смерті"
"the death","смерть"
"law-breaking","порушення закону"
"abductions","викрадення"
"the abduction","викрадення"
"criminals","злочинці"
"bandits","бандити"
"ruffians","головорізи"
"open war","відкрита війна"
"I hate them.","Я ненавиджу їх."
"You are bound to obey me.","Ти повинен підкорятися мені."
"Where should I take you?","Куди мені тебе відвезти?"
"Tell me about ","Розкажіть мені про "
"the deaths","смерті"
"the law-breaking","порушення закону"
"the abductions","викрадення"
"the beasts","звірі"
"the bandits","бандитии"
"the ruffians","головорізи"
"the open war","відкрита війна"
"The group","Група"
"torture","катування"
"an abduction","викрадення"
"a journey","подорож"
"a house","будинок"
"a tree","дерево"
"I am ","Я "
"My ","Мій "
" is a group of "," - група з "
"  I rule "," Я керую "
"you","вас"
"a free room","вільна кімната"
"this library","цю бібліотеку"
"Never.","Ніколи."
"Drop ","Викинути "
"Of course.","Звісно."
"Yes, let's go.","Так, рушаймо."
"Who?","Хто?"
"I started my pilgrimage in ","Я вирушив у паломництво з "
"my ","мій "
" to start a new life"," почати нове життя"
"There are ","Тут є "
"The villages ","Села "
"The village ","Село "
"Where?","Де?"
"mother","матір"
"father","батько"
"parent","рожденик"
"son","син"
"daughter","дочка"
"child","дитина"
"grandmother","бабуся"
"grandfather","дідусь"
"grandchild","онук"
"brother","брат"
"sister","сестра"
"aunt","тітка"
"uncle","дядько"
"niece","племінниця"
"nephew","племінник"
"Dear","Дорогий"
"Is it really you?","Це справді ви?"
"your very own","ваш особистий"
"try","спробуйте"
"authentic","достовірний"
"real","справжній"
"clear","чистий"
"the great","великий"
"faraway","далеко"
"right here","саме тут"
"fair","чесний"
"distant","віддалено"
"here","тут"
"!  Today only","! Тільки сьогодні"
"Great","Великий"
"Splendid","Чудово"
"Good","Добрий"
"Decent","Непоганий"
"Fantastic","Фантастичний"
"Excellent","Відмінний"
"man","чоловік"
"woman","жінка"
"Never!","Ніколи!"
"You first, coward!","Ти перший, боягузе!"
"Okay!  I'll do it.","Гаразд! Я зроблю це."
"  This conversation is over."," Розмову закінчено."
"No!","Ні!"
"Wait, what?","Стривай, що?"
"I don't agree.","Я не згідний."
"I must insist.","Я мушу наполягати."
"There","Там"
" aggressive"," агресивний"
" passive"," пасивний"
" eighth"," восьмий"
"calm","спокійний"
"large","великий"
"next ","наступний "
"negative ","негативний "
"zero","нуль"
"one","один"
"two","два"
"three","три"
"four","чотири"
"five","п'ять"
"six","шість"
"seven","сім"
"eight","вісім"
"nine","дев'ять"
"ten","десять"
"eleven","одинадцять"
"twelve","дванадцять"
"thirteen","тринадцять"
"fourteen","чотирнадцять"
"fifteen","п'ятнадцять"
"sixteen","шістнадцять"
"seventeen","сімнадцять"
"eighteen","вісімнадцять"
"nineteen","дев'ятнадцять"
" billion"," мільярд"
" million"," мільйон"
" thousand"," тисяча"
" hundred"," сотня"
"twenty","двадцять"
"thirty","тридцять"
"forty","сорок"
"fifty","пятдесят"
"sixty","шістдесят"
"seventy","сімдесят"
"eighty","вісімдесят"
"ninety","дев'яносто"
"Negative ","Негативний "
"Zeroth","Нульовий"
"First","Перший"
"Second","Другий"
"Third","Третій"
"Fourth","Четвертий"
"Fifth","П'ятий"
"Sixth","Шостий"
"Seventh","Сьомий"
"Eighth","Восьмий"
"Ninth","Дев'ятий"
"Tenth","Десятий"
"Eleventh","Одинадцятий"
"Twelfth","Дванадцятий"
"Thirteenth","Тринадцятий"
"Fourteenth","Чотирнадцятий"
"Fifteenth","П'ятнадцятий"
"Sixteenth","Шістнадцятий"
"Seventeenth","Сімнадцятий"
"Eighteenth","Вісімнадцятий"
"Nineteenth","Дев'ятнадцятий"
" sculpture has melted!"," скульптура розплавлена!"
"Digging designation cancelled: warm stone located.","Копання зупинено: знайдено теплий камінь."
"Digging designation cancelled: damp stone located.","Копання зупинено: знайдено вологий камінь."
"Shop","Лава"
"Trade Depot","Ринок"
"Nest","Гніздо"
"Nest Box","Гніздо"
"Wagon","Віз"
"Carpenter's Workshop","Столярна майстерня"
"Farmer's Workshop","Фермерська майстерня"
"Craftsman","Майстер"
"Magma Forge","Магмова кузня"
"'s Workshop"," майстерня"
"Siege Workshop","Облогова майстерня"
"Leather Works","Кожевня"
"Clothier","Кравець"
"Tool","Інструмент"
"Workshop","Майстерня"
"Zone","Зона"
"Farm Plot","Грядка"
"Glass Furnace","Скловарна піч"
"Wood Furnace","Дров'яна піч"
"Magma Smelter","Магменна плавильня"
"Magma Glass Furnace","Магменна скловарна піч"
"Magma Kiln","Магменна піч для випалу"
"Furnace","Піч"
"Pressure Plate","Натискна плита"
"Cage Trap","Клітка-пастка"
"Stone-Fall Trap","Кам'янопадна пастка"
"Weapon Trap","Пастка зі зброї"
"Track Stop","Зупинка"
"Trap","Пастка"
"Siege Engine","Облогова машина"
"Floor Hatch","Люк"
"Wall Grate","Грати в стіні"
"Floor Grate","Грати на підлозі"
"Vertical Bars","Вертикальні прути"
"Floor Bars","Прути на підлозі"
"Restraint","Прив'язь"
"Gear Assembly","Редуктор"
"Horizontal Axle","Горизонтальний вал"
"Vertical Axle","Вертикальний вал"
"Upright Spear/Spike","Висувний спис/кол"
"Archery Target","Мішень"
"Screw Pump","Гвинтовий насос"
"Water Wheel","Водне колесо"
"Burial Receptacle","Похоронення"
"Seat","Сидіння"
"Weapon Rack","Підставка для зброї"
"Armor Stand","Підставка для обладунків"
"Container","Контейнер"
"Traction Bench","Тракційний стіл"
"Dirt Road","Грунтова дорога"
"Paved Road","Мощена дорога"
"Glass Window","Вікно"
"Gem Window","Вітраж"
"Stockpile","Склад"
"Up Stair","Сходи нагору"
"Down Stair","Сходи донизу"
"Up/Down Stair","Настрізні сходи"
"Track (N)","Колії (Пвн)"
"Track (S)","Колії (Пвд)"
"Track (E)","Колії (Сх)"
"Track (W)","Колії (Зах)"
"Track (NS)","Колії (Пвн-Пвд)"
"Track (NE)","Колії (Пвн-Сх)"
"Track (NW)","Колії (Пвн-Зах)"
"Track (SE)","Колії (Пвд-СХ)"
"Track (SW)","Колії (Пвд-Зах)"
"Track (EW)","Колії (Сх-Зах)"
"Track (NSE)","Колії (Пвн-Пвд-Сх)"
"Track (NSW)","Колії (Пвн-Пвд-Зах)"
"Track (NEW)","Колії (Пвн-СХ-Зах)"
"Track (SEW)","Колії (Пвд-Сх-Зах)"
"Track (NSEW)","Колії (Пвн-Пвд-Сх-Зах)"
"Track/Ramp (N)","Спуск колії (Пвн)"
"Track/Ramp (S)","Спуск колії (Пвд)"
"Track/Ramp (E)","Спуск колії (Сх)"
"Track/Ramp (W)","Спуск колії (Зах)"
"Track/Ramp (NS)","Спуск колії (Пвн-Пвд)"
"Track/Ramp (NE)","Спуск колії (Пвн-Сх)"
"Track/Ramp (NW)","Спуск колії (Пвн-Зах)"
"Track/Ramp (SE)","Спуск колії (Пвд-Сх)"
"Track/Ramp (SW)","Спуск колії (Пвд-Зах)"
"Track/Ramp (EW)","Спуск колії (Сх-Зах)"
"Track/Ramp (NSE)","Спуск колії (Пвн-Пвд-Сх)"
"Track/Ramp (NSW)","Спуск колії (Пвн-Пвд-Зх)"
"Track/Ramp (NEW)","Спуск колії (Пвн-Сх-Зх)"
"Track/Ramp (SEW)","Спуск колії (Пвд-Сх-Зх)"
"Track/Ramp (NSEW)","Спуск колії (Пвн-Пвд-Сх-Зх)"
"Construction","Конструкція"
"Vacant Shop","Пустий магазин"
"Exotic Clothing Shop","Магазин екзотичного одягу"
"Clothing Shop","Магазин одягу"
"Crafts Market","Ремесленський ринок"
"General Store","Універмаг"
" Lever"," Важіль"
"Custom Workshop","Майстерня"
" Door"," Двері"
" Floor Hatch"," Люк"
" Wall Grate"," Грати в стіні"
" Floor Grate"," Грати в підлозі"
"Vertical ","Вертикальні "
" Bars"," Прути"
" Floor Bars"," Прути на підлозі"
" Floodgate"," Шлюз"
" Rope"," Мотузка"
" Chain"," Ланцюг"
"Shared","Загальний"
"Rough ","Грубий "
" Archery Target"," Мішень"
" Gear Assembly"," Редуктор"
" Rollers"," Ролікі"
"Horizontal ","Горизонтальний "
" Axle"," Вал"
" Support"," Опора"
" Pillar"," Колона"
"Upright ","Висунутий "
"Retracted ","Прибраний "
"Spears","Списи"
"Spears/Spikes","Списи/кілки"
" Casket"," Труна"
" Sarcophagus"," Саркофаг"
" Coffin"," Труна"
" Chair"," Стілець"
" Throne"," Трон"
" Table"," Стіл"
" Cabinet"," Шафа"
" Weapon Rack"," Підставка для зброї"
" Armor Stand"," Підставка для обладунків"
" Coffer"," Скринька"
" Chest"," Скриня"
"Dirt","Грунтова"
" Road"," Дорога"
" Bridge"," Міст"
" Statue"," Статуя"
" Slab"," Меморіал"
"Glass","Скло"
" Window"," Вікно"
"Armor ","Обладунки "
"Weapon ","Зброя "
"Animal ","Тварини "
"Food ","Харчовий "
"Furniture ","Меблевий "
"Corpse ","Трупів "
"Refuse ","Відходи "
"Stone ","Камні "
"Ammo ","Боєприпаси "
"Coins ","Монет "
"Bar/Block ","Злитків/блоків "
"Gem ","Самоцвітів "
"Finished Goods ","Готових товарів "
"Leather ","Шкіри "
"Cloth ","Тканини "
"Wood ","Дерева "
"Stockpile #","Склад #"
" have hatched."," вилупився."
"You've caught a ","Ви спіймали "
"Your trap was robbed of the ","З вашої пастки вкрали "
" closes."," закриває."
"You hear ","Ви чуєте "
"distant ","вітдалений "
"nearby ","близький "
"grinding.","розмелювати."
" close."," закривати."
" opens."," відкриває."
" open."," відкрити."
" has constructed a masterpiece!"," створив шедевр!"
"A masterwork of ","Шедевр "
" has been lost!"," був втрачений!"
"Home","Дім"
"Plot","Ділянка"
"Mead Hall","Корчма"
"Throneroom","Тронний зал"
"Entrance","Вхід"
"Treasury","Скарбниця"
"Mechanism Room","Машинне вітділення"
"Guard post","Пост охорони"
"Noble quarters","Покої знаті"
"Captive Room","В'язниця"
"Tower Top","Дах вежі"
"Courtyard","Внутрішній двір"
"Secret Library","Таємна бібліотека"
"Market Stall","Торгівельна крамниця"
"Campground","Табір"
"Command Tent","Намет Керівництва"
"Tent","Намет"
"Command Tent (Bld)","Намет Керівництва (Споруда)"
"Tent (Bld)","Намет (Споруда)"
"Dungeon Cell","Клітка в'язниці"
"Animal Pit","Тваринна Яма"
"Cloth Pit","Яма Кравця"
"Tanning Pit","Дубильна Яма"
"Cloth Clothing Pit","Яма Тканинного Одягу"
"Leather Clothing Pit","Яма Кожаного Одягу"
"Bone Carving Pit","Яма Косторіза"
"Gem Cutting Pit","Яма Ювеліра"
"Weaponsmithing Pit","Яма Зброї"
"Bowmaking Pit","Яма Лукоділа"
"Blacksmithing Pit","Яма Коваля"
"Armorsmithing Pit","Яма Обладунків"
"Metal Crafting Pit","Яма Металічнних Виробів"
"Leatherworking Pit","Кожана яма"
"Carpentry Pit","Яма Тесляра"
"Stoneworking Pit","Яма Камнеріза"
"Forging Pit","Яма Коваля"
"Fighting Pit","Яма Бійців"
"Animal Workshop","Розплідник"
"Cloth Workshop","Кравецька Майстерня"
"Tanning Workshop","Дубильний Цех"
"Cloth Clothing Workshop","Майстерня Тканинного Одягу"
"Leather Clothing Workshop","Майстерня Кожаного Одягу"
"Bone Carving Workshop","Майстерня Косторіза"
"Gem Cutting Workshop","Майстерня Ювеліра"
"Weaponsmithing Workshop","Майстерня Зброяра"
"Bowmaking Workshop","Майстерня Лукороба"
"Blacksmithing Workshop","Ковальня"
"Armorsmithing Workshop","Майстерня Бронника"
"Metal Crafting Workshop","Ковальня"
"Leatherworking Shop","Шкіряна Лавка"
"Carpentry Workshop","Майстерня Столяра"
"Stoneworking Workshop","Майстерня Каменщика"
"Forging Workshop","Ковальня"
" Or "," Або "
", Etc.","і т.д."
"Furniture Hauling","Переміщення Мебелі"
"This is the ","Це "
" currency of "," валюта "
" from the year "," від року "
" from an unknown year"," від невідомого року"
" under an obscure ruler"," за невідомого правителя"
" under "," за "
" from a period of no rule"," з періоду без правителів"
"master","майстер"
" pulls"," тягне"
" on the embedded "," на вбудованому "
" lock"," блокуєте"
" locks"," блокує"
" place"," робите"
" places"," робить"
" a chokehold on "," задушливий захват на "
" take"," забираєте"
" takes"," забирає"
" down by the "," донизу "
" throw"," помічаєте"
" throws"," помічає"
" pinch"," стискаєте"
" pinches"," стискає"
" adjust"," вирішуєте"
" adjusts"," вирішує"
" the grip of "," від захвату "
" on "," на "
" bend"," заламуєте"
" bends"," заламує"
" struggle"," б'єтесь"
" struggles"," б'ється"
" in vain against the grip of "," в лещатах "
" release"," випускаєте"
" releases"," випускає"
" loosen"," послаблюєте"
" loosens"," послабляє"
" the choke hold of "," удушення "
" the joint lock of "," захват суглоба "
" break"," звільнюєтесь"
" breaks"," звільняється"
" shake"," трясете"
" shakes"," трясе"
" around by the "," кругом за "
" is ripped away and remains in "," відірвана та залишається в "
" mouth"," рот"
" grip"," захват"
" lose"," втрачаєте"
" loses"," втрачає"
" hold of the "," володіння над "
"strangle","душите"
" pass"," пропускаєте"
" passes"," пропускає"
" out."," над собою."
"grab","хватаєте"
"grabs","хватає"
" miss "," промахуєтесь "
" misses "," промахується "
" has moved out of range!"," вийшов за межу!"
"strikes","б'є"
"strike","б'єте"
"push","штавхаєте"
"pushes","штовхає"
" let"," дозволяєте"
" lets"," дозволяє"
" drop away as "," впасти, одночасно з "
"attack","нападаєте"
"attacks","нападає"
" catch"," ловите"
" catches"," ловить"
" attack "," нападаєте "
" attacks "," нападає "
" but "," але "
" scramble"," візповзаєте"
" strike at "," вдаряєте в "
" strikes at "," вдаряє в "
" but the shot is blocked!"," але постріл блокований!"
" scrambles"," відповзає"
" roll"," відкатуєтесь"
" rolls"," відкатується"
" jump"," відпригуєте"
" jumps"," відпригує"
" away"," геть"
" but the shot is "," але постріл був "
"deftly ","вправний "
"just barely ","ледве "
"easily ","без зусиль "
"parried","відбитий"
" away from "," від "
" but the shot is blocked"," але постріл заблокований"
" block "," блокуєте "
" blocks "," блокує "
"narrowly ","тісно "
"deflected","відключений"
" bat "," б'є "
" bats "," б'є "
" aside"," у бік"
" out of the air"," з повітря"
"silently ","тихо "
" leap at "," стрибаєте на "
" leaps at "," стрибає на "
" charge at "," нападаєте на "
" charges at "," нападає на "
" looks "," виглядає "
"surprised by the ferocity of ","здивованим жорстокістю "
" onslaught!"," натиску!"
" collide"," зіштовхуєтеся"
" collides"," зіштовхується"
" knocked over"," повалений"
" and tumble"," і падаєте"
" and tumbles"," і падає"
" backward"," назад"
" bounce"," відскакуєте"
" bounces"," відскакує"
"specks","плями"
"smear","пляма"
"coating","шар"
"myself","мене"
"are ","- "
"to ","до "
"a tavern","таверна"
"even ","навіть "
"  It is said that "," Кажуть, що "
"an unknown creature","невідома істота"
" my "," мій "
" a murderer."," вбивця."
" an enemy."," ворог."
" a friend."," друг."
" an animal."," тварина."
" my enemy."," мій ворог."
"hate","ненавидіти"
"a hero","герой"
"you.","вас."
" killed "," вбитий "
" my neighbor."," мій сусід."
"I don't know ","Я не знаю "
"Uhh...","Ухх..."
"I get so jealous sometimes.","Я іноді стаю таким ревнивим"
"Be happy!","Будь щасливим!"
"People can be so angry, and I just don't understand it.","Люди можуть бути "
"W... worried?  Do I look worried?","С... схвильований? Хіба я виглядаю схвильованим?"
"Yes, I want more.  Is that so bad?","Так, я хочу більше. Хіба ж це так погано?"
"I could really use a drink.","Я би зараз випив."
"So I overindulge sometimes.","Іноді я зловживаю."
"Sometimes I think I need a drink, but I can control myself.","Іноді я думаю, що мені треба випити, але я можу себе контролювати"
"Why must they be so violent?","Навіщо їм бути такими жорстокими?"
"Maybe I give up too early sometimes.","Мабуть, іноді я здаюсь надто рано."
"You don't care, so don't ask.","Тобі все одно, тому не питай."
"I try to live and behave properly.","Я намагаюсь жити і поводитись достойно."
"I was never one to follow advice.","Я ніколи не був тим, хто слухав чиїсь поради."
"Have no fear.","Я не боюся."
"Bravery is not a strength of mine.","Хоробрість не є моєю сильною стороною."
"My goals are important to me.","Мої цілі дуже важливі для мене."
"It's not a gift if you expect something in return.","Якщо ти очікуєш щось натомість, то це не подарунок."
"I like to dress well.","Я люблю гарно вдягатись."
"Did you hear the one about the ","Ви чули про "
"That isn't funny.","Це не смішно."
"You shouldn't waste your life on revenge.","Не варто витрачати своє життя на помсту."
"I am a very, very important person.","Я є дуже, дуже важлива персона."
"There's no room for mercy in this world.","У цьому світі нема місця для милосердя."
"Huh?  What was that?","Га? Що це було?"
"I'm curious.  Tell me everything!","Мені цікаво. Розкажи все!"
"I don't really want to know.","Я дійсно не хочу цього знати."
"I wonder what they think.","Мені цікаво, що вони думають."
"Who cares what they think?","Хто має діло до того, що вони думають?"
"I could tell you all about it!","Я міг би все розказати тобі про це!"
"I'm not going to change my mind.","Я не збираюсь змінювати свою думку."
"Try to keep an open mind.","Намагайся тримати свій розум відкритим."
"Everybody has their own way of life.","Кожен живе по своєму."
"Friendship is forever.","Дружба є навіки."
"Don't bother trying to play on my emotions.","Не намагайся грати на моїх емоціях."
"I'm happy to help.","Я радий допомогти."
"Why should I help?","Чому я маю допомагати?"
"Do your duty.","Виконай свій обов'язок"
"Oh, I don't usually think much.","Ох, я зазвичай не думаю багато."
"It's my mess.","Це моя помилка."
"It's such a joy to be with people.","Так добре бути з людьми."
"I try not to interrupt.","Я намагаюсь не перебити."
"There's so much to be done!","Ще так багато треба зробити!"
"What's the rush?","Куди поспішаєш?"
"Do you have dreams?  Tell me a story!","У тебе є мрії? розкажи мені історію!"
"I guess I just don't appreciate art.","Мені здається, що я просто не ціную мистецтво."
"I have","Я маю"
"I've","Я"
" been "," був "
"on ","на "
"I cannot stand the world any longer...","Я більше не можу терпіти цей світ..."
"I feel angry all the time.","Я весь час злий."
"I feel so tired of everything.","Я так стомився від всього."
"I'm doing ","Я роблю "
"Somebody help!","Хтось, допоможіть!"
"Ah...  uh...","Ах... ух..."
"Rawr!!!","Аррр!!!"
"Waaaaa...","Ааааа..."
"The pain!","Біль!"
"Every last one of you will pay with your lives!","Кожен з вас заплатить своїм життям!"
"Ahhhhhhh!  No!","Ахххххх! Ні!"
"Eek!","Ік!"
"What is the meaning of it all?!","Що це все означає?!"
"I can't believe how great I feel!","Я не можу повірити, як добре я почуваюсь!"
"What's going on?!","Що відбувається?!"
"What's that?!","Що це?!"
"Fantastic!","Фантастично!"
"I am so happy!","Я такий щасливий!"
"I will take revenge!","Я помщусь!"
"Ha ha!  So amusing!","Ха ха! Так забавно!"
"I am so angry!","Я такий злий!"
"I am very aroused!","Я доволі виспався!"
"This is so boring!","Це так нудно!"
"How embarrassing!","Як непристойно!"
"I feel so empty inside...","Я відчуваю таку пустоту всередині..."
"Such freedom I feel!","Я почуваюсь таким вільним!"
"Such happiness!","Таке щастя!"
"There is no hope!","Тут нема надії!"
"How incredibly interesting!","Як цікаво!"
"I'm so terribly lonely!","Я такий одинокий!"
"I am so nervous!","Я такий знервований!"
"Such nostalgia!","Така ностальгія!"
"My optimism is unshakeable!","Мій оптимізм є непереборним!"
"I'm panicking!  I'm panicking!","Я панікую! Я панікую!"
"I am so proud!","Я такий гордий!"
"Why does it keep happening to me?  Why me?!","Чому воно й далі трапляється зі мною? Чому я?!"
"I live to serve...  my dear master...","Я живу, щоб служити... мій господарю..."
"Such unhappiness!","Таке нещастя!"
"The wonder!","Диво!"
"I'm so worried!","Я такий схвильований!"
"What am I even doing here?","Що я взагалі тут роблю?"
"I feel so defeated...","Я почуваю себе таким переможеним..."
"It is done.","Готово."
"This is love.","Це кохання."
"I am not scared!","Я не злякався!"
"I'm very angry.","Я дуже злий."
"I'm aroused!","Я виспався!"
"It's boring.","Це нудно."
"There is no love.","Там немає любові."
