"major","l¾n lao"
"natural minor","gi÷ng thÑ mµc mÕc"
"harmonic minor","gi÷ng thÑ hòa âm"
"melodic minor","gi÷ng thÑ giai ði®u"
"myxolydian","gi÷ng Trß·ng phóng khoáng"
"glass","thüy tinh"
"ice","bång"
"mud","bùn"
"stone","ðá"
"general","chung"
"water","nß¾c"
"far","xa"
"low","th¤p"
"outside","bên ngoài"
"cavern","hang ðµng"
"desert","sa mÕc"
"forest","r×ng"
"taiga","r×ng lá kim"
"glacier","sông bång"
"savanna","ð°ng cö nhi®t d¾i"
"lake","h°"
"mountains","núi"
"ocean","ðÕi dß½ng"
"sky","b¥u tr¶i"
"tavern","quán rßþu"
"tomb","ngôi mµ"
"tundra","lãnh nguyên"
"underworld","ð¸a ngøc"
"marsh","ð¥m l¥y cö"
"swamp","ð¥m l¥y cây thân g²"
"drums","tr¯ng"
"attack","t¤n công"
"drink","u¯ng"
"eat","ån<br>"
"trade","trao ð±i"
"gem","ðá quý"
"metal","kim loÕi"
"announcement","thông báo"
"companion","Chiªn hæu cüa ta."
"speak","nói"
"confirm","xác nh§n"
"its","cüa nó"
"it","nó"
"itself","chính nó"
"Activity","HoÕt ðµng"
"Training Session","Phiên Hu¤n Luy®n"
"Activity Event","Sñ ki®n"
"Research","Nghiên cÑu"
"Play","ChÕy"
"Worship","Tôn th¶"
"Socialize","Giao lßu"
" empty "," thiªu "
" empties "," thiªu "
" pick up "," nh£t lên "
" picks up "," nh£t lên "
" embraces "," ôm "
" has shared many tales from beyond "," ðã chia së nhi«u câu chuy®n t× th½i xa xßa "
" has shared a few rumors."," ðã chia së mµt vài tin ðôn."
" has shared a rumor from abroad."," ðã chia së tin ðôn t× nhßng n½i khac."
" gives you "," ðßa cho bÕn "
" has discovered "," ðã phát hi®n ra "
" has become a student of "," ðã tr· thành h÷c tro cüa "
"Ponder ","Suy ngâm "
"Learn ","H÷c "
"Teach ","DÕy "
"Discuss ","Thäo lu§n "
"Read","Ð÷c"
"Write","Viªt"
"Write about ","Viªt v« "
"Copy","Sao chép"
"Meditate on ","Thi«n ð¸nh v« "
"Pray to ","C¥u nguy®n cho "
"Go to Combat Training","T§p trung Hu¤n luy®n Chiªn ð¤u"
"Organize Combat Training","T± chÑc Hu¤n luy®n Chiªn ð¤u"
"Lead Combat Training","Chï huy Hu¤n luy®n Chiªn ð¤u"
"Wait for Combat Training","Ch¶ Hu¤n luy®n Chiªn ð¤u"
"Play Make Believe","Ch½i trò tß·ng tßþng"
"Play with ","Ch½i v¾i "
"Toy","Ð° ch½i"
"Inveigh Against ","Phän ð¯i "
"Promote ","Ð« cØ "
"Law","Pháp lu§t"
"Loyalty","Trung thành"
"Family","Gia ðình"
"Friendship","Tình bÕn"
"Power","SÑc mÕnh"
"Truth","Sñ th§t"
"Cunning","Xäo quy®t"
"Eloquence","Hùng bi®n"
"Fairness","Công b¢ng"
"Decorum","L¸ch thi®p"
"Tradition","Truy«n th¯ng"
"Artwork","Tác ph¦m ngh® thu§t"
"Cooperation","Hþp tác"
"Independence","Ðµc l§p"
"Stoicism","Chü nghîa kh¡c kÖ"
"Introspection","Xem xét bän thân"
"Self-Control","Ki¬m soát bän thân"
"Tranquility","Thanh bình"
"Harmony","Hài hoà"
"Merriment","Vui tß½i"
"Craftsmanship","Ngh« thü công"
"Martial Prowess","SÑc mÕnh võ thu§t"
"Skill","KÛ nång"
"Hard Work","Chåm Chï"
"Sacrifice","Hy sinh"
"Competition","CÕnh tranh"
"Perseverance","Kiên nhçn"
"Leisure Time","Th¶i gian giäi trí"
"Romance","Lãng mÕn"
"Nature","Thiên nhiên"
"Peace","Hoà bình"
"Knowledge","Tri thÑc"
"Preach on ","Ði giäng ÐÕo "
"Listen to Sermon","Nghe giäng ÐÕo"
"Tell Story","K¬ chuy®n"
"Listen to Story","Nghe k¬ chuy®n"
"Listen to Poetry","Nghe th½"
"Play ","Ch½i "
"Simulate ","Mô phöng "
"Sing","Hát"
"Chant","Hþp xß¾ng"
"Recite Poetry","Ngâm th½"
"Perform Music","Bi¬u di­n Âm nhÕc"
"Listen to Music","Nghe nhÕc"
"Perform Dance","Bi¬u di­n Múa"
"Watch Dance","Xem múa"
"Go to ","Ði t¾i "
" Demonstration"," Trình di­n"
"Lead ","Chï huy "
"Organize ","T± chÑc "
"Watch ","Xem "
"Wait for ","Ch¶ "
"Serve Customer","Phøc vø Khách hàng"
"Serve ","Phøc vø "
"Go to Individual Combat Drill","T§p trung T§p Chiªn ð¤u Cá nhân"
"Individual Combat Drill","T§p Chiªn ð¤u Cá nhân"
"/Resting","/Nghï ng½i"
"Go to Sparring Match","T§p trung Ð¤u tay ðôi"
"Spar","Ð¤u tay ðôi"
"Go to Sparring Practice","T§p trung Ð¤u t§p tay ðôi"
"Watch Sparring Practice","Xem Ð¤u t§p tay ðôi"
"Archery Practice","T§p luy®n B¡n cung"
"You cannot perform here.","BÕn không th¬ bi¬u di­n · ðây"
"You could not find a partner.","BÕn không th¬ tìm mµt ð¯i tác"
"There are not enough dancers.","Không ðü vû công"
"There is not enough room to perform here.","Không ðü ch² ð¬ bi¬u di­n"
"Some children","Mµt vài ðÑa trë"
"begins","b¡t ð¥u"
"begin","b¡t ð¥u"
" playing make believe."," ðang ch½i trò tß·ng tßþng"
" playing with "," ch½i cùng v¾i "
"a toy","mµt ð° ch½i"
"The performers","Ngß¶i bi¬u di­n"
"the story of ","câu chuy®n v« "
"reciting the poem ","ðang ngâm bài th½ "
"an improvised recital of ","mµt l¶i gi¾i thi®u ngçu hÑng cüa "
"the musical composition ","tác ph¦m âm nhÕc "
"improvised music, ","ði®u nhÕc ngçu hÑng, "
"dancing ","nhäy múa "
"an improvised dance, ","mµt ði®u nhäy ngçu hÑng, "
"You continue the sermon.","BÕn tiªp tøc bài thuyªt giáo."
"The sermon continues.","Bài thuyªt giáo tiªp tøc."
"You continue the story.","BÕn tiªp tøc câu chuy®n."
"The story continues.","Câu chuy®n tiªp tøc."
"You begin","BÕn b¡t ð¥u"
" line."," dòng."
"the stanza","ðoÕn th½"
" stanza"," ðoÕn th½"
"You continue the poem.","BÕn tiªp tøc bài th½."
"The poem continues.","Bài th½ tiªp tøc."
"You enter ","BÕn tiªn vào "
"The dance enters a new section with ","Ði®u nhäy chuy¬n sang ph¥n m¾i v¾i "
"The music enters ","Ði®u nhÕc chuy¬n sang "
"a simple passage","mµt ðoÕn vån ng¡n"
"the introduction","ph¥n m· ð¥u"
"the exposition","ðoÕn tr¥n thu§t"
" of the theme"," cüa chü ð«"
" of the first theme"," cüa ðoÕn ð¥u chü ð«"
" of the second theme"," cüa ðoÕn thÑ hai chü ð«"
" of the previous passage"," cüa ðoÕn vån trß¾c"
"a recapitulation","mµt ðoÕn tóm lßþc"
" of previous passages"," cüa ðoÕn vån trß¾c"
"a chorus","mµt ði®p khúc"
"the finale","chß½ng cu¯i"
"the coda","ph¥n kªt"
"a bridge-passage","ðoÕn vån n¯i"
"first ","ð¥u tiên "
"second ","thÑ hai "
"theme","chü ð«"
" and "," và "
"You continue the dance.","BÕn tiªp tøc ði®u nhäy."
"The dance continues.","Ði®u nhäy tiªp tøc."
"You continue the music.","BÕn tiªp tøc ði®u nhÕc."
"The music continues.","Ði®u nhÕc tiªp tøc."
"You conclude your performance.","BÕn kªt thú màn bi¬u di­n."
"The performers are finished.","Màn bi¬u di­n kªt thúc."
"Some performers finish their act.","Vài ngh® sÛ hoàn thành ph¥n trình di­n cüa h÷"
" has finished performing."," Ðã trình di­n xong."
"You've learned ","BÕn ðã h÷c ðßþc "
"You feel like you know the basic rules of ","BÕn nh§n biªt ðßþc mµt s¯ quy lu§t c½ bän "
" now."," bây gi¶."
"Your","Cüa bÕn"
"'s","Cüa"
" are indistinguishable!"," không th¬ phân bi®t n±i!"
"instrument","nhÕc cø"
"chant","hát"
" play"," ch½i"
" sound"," âm thanh"
"singing","hát"
" choose"," ch÷n"
" the perfect phrasing."," cøm t× hoàn mî."
" recite"," ngâm lÕi"
" crisply."," rõ ràng."
" mumble"," l¦m b¦m"
" weave"," d®t"
" a mesmerizing tale!"," mµt câu chuy®n ð¥y mê ho£c!"
" tell"," k¬"
" the story in vivid detail."," câu chuy®n v¾i chi tiªt sinh ðµng."
" telling the tale quite well."," k¬ câu chuy®n khá là hay."
"A ","Mµt "
" by "," b·i "
"We should be making better progress.","Chúng ta c¥n ð¦y nhanh tiªn ðµ h½n."
"We are going the wrong way.","Chúng ta ðang lÕc ðß¶ng r°i."
"We have arrived at our destination.","Chúng ta ðã ðªn ðích."
"We must not abandon ","Nh¤t ð¸nh không ðßþc bö nó "
"We must go back.","Rút lui thôi."
"Empty announcement ","Không có thông báo "
"spinning ","ðang quay "
"flying ","ðang bay "
" from behind"," t× phía sau"
" from the side"," t× bên cÕnh"
", but the attack is deflected by ",", nhßng ðòn t¤n công b¸ phän lÕi b·i "
", lightly tapping the target!",", chÕm nh© vào ð¯i tßþng!"
", but there is no force!",", nhßng không có lñc tác ðµng!"
", but it passes right through!",", nhßng nó sßþt qua!"
", but the attack passes right through!",", nhßng ðòn t¤n công lÕi sßþt qua!"
", but it glances away!",", nhßng nó liªc ði ngay!"
" is smashed into the body, an unrecognizable mass!"," ðâm s¥m vào c½ th¬, mµt m¾ h²n ðµn!"
"tearing apart","xé nát thành t×ng mänh"
"shattering","vÞ nát"
"chipping","sÑt xát"
"fracturing","gãy xß½ng"
"denting","n±i cøc"
"bruising","làm gi§p"
" tearing apart"," xé nát thành t×ng mänh"
"It is a gelding strike!","Ðó là mµt phát thiªn chém!"
"It is a gelding blow!","Ðó là mµt phát thiªn n±!"
"a major artery","ðµng mÕch chü"
"an artery","ðµng mÕch"
" has been opened by the attack"," ðã b¸ h· vªt b·i cú t¤n công"
"many nerves","nhi«u dây th¥n kinh"
"a motor nerve","mµt dây th¥n kinh v§n ðµng"
"a sensory nerve","mµt dây th¥n kinh cäm giác"
" feel"," cäm th¤y"
"My good friend.","BÕn t¯t cüa ta."
" have returned."," ðã tr· v«."
" and others have returned."," và nhæng ngß¶i khác ðã tr· lÕi."
" has returned."," ðã tr· lÕi."
" has brought back many tales from beyond "," ðã mang v« r¤t nhi«u câu chuy®n t× cñc lÕc "
" has brought back a few rumors."," ðã mang v« mµt s¯ tin tÑc."
" has brought back a rumor from abroad."," ðã mang v« mµt s¯ tin tÑc t× nß¾c ngoài."
" is visiting."," ðang t¾i thåm!"
"Winter","Mùa Ðông"
"Autumn","Mùa Thu"
"Summer","Mùa HÕ"
"Spring","Mùa Xuân"
"The dead walk.  Hide while you still can!","Xác chªt biªt ði kìa.  Tr¯n ði khi bÕn còn có th¬!"
"A vile force of darkness has arrived, seeking a parley!","Mµt thª lñc ðen t¯i xâm chiªm, chúng ðang tìm sñ h²n loÕn cüa thª gi¾i!"
"A vile force of darkness has arrived!","Mµt thª lñc ðen t¯i kinh t·m xâm chiªm!"
"An army is invading!","Mµt ðµi quân hiªu chiªn ðang xâm lßþc!"
" has been founded "," ðã ðßþc tìm th¤y "
"refusing ","t× ch¯i "
"hiding ","tr¯n "
"cooking ","n¤u "
"falling","ngã"
"dead","chªt"
"laughing","cß¶i"
"melting","nung chäy"
"burning","cháy"
" terrified"," kinh hoàng"
"cooking","n¤u ån"
"engraving","ðiêu kh¡c"
"Untitled","Không ð«"
"female ","cái "
"male ","ðñc "
"Temperate","Nhi®t ðµ"
"Geography","Ð¸a lí"
"Saving world information...","Lßu thông tin thª gi¾i..."
"Quit","Thoát"
"tooth","rång"
"Histories of ","Huy«n thoÕi v« "
"Buildings...","Kiªn trúc..."
"About DF","V« DF"
"Butcher","Ngß¶i m± th¸t"
"Ammo","ÐÕn"
"Coins","Ð°ng xu"
"Gems","Ðá quý"
"Cloth","Väi"
"Armor","Giáp"
"Legs","Nhæng cái chân"
"Bedroom","Phòng ngü"
"Jeweler","Thþ kim hoàn"
"Mechanic","Thþ c½ khí"
"Fishery","Chª biªn Häi sän"
"Kitchen","Nhà bªp"
"Table","Bàn"
"Statue","Tßþng"
"Bookcase","K® sách"
"Door","CØa"
"Well","Giªng"
"west","phía tây"
"east","phía ðông"
"south","phía nam"
"north","phía b¡c"
"armor stand","giá ðÞ áo giáp"
"us","chúng tôi"
"I don't remember clearly.","Ta không nh¾ rõ."
"What happened?","Chuy®n gì v×a xäy ra v§y?"
"  The task is accomplished.","  Công vi®c ðã hoàn thành."
" is dead!"," ðã chªt!"
"  The enemy will be driven off.","  Lû ð¸ch s¨ b¸ ðu±i ði."
"  There will be no rest for the enemy.","  Lû ð¸ch s¨ không có kh¡c nào ðßþc nghï ng½i."
"scholar","h÷c giä"
"Well, let's see...","Chà, ð¬ xem..."
"the mead hall","sänh chính"
"a cottage","mµt ngôi nhà tranh"
"the keep","pháo ðài"
"the great tower","toà tháp l¾n"
"a house","mµt ngôi nhà"
"a hillock","ng÷n ð°i nhö"
"a tree","mµt cái cây"
"an abandoned shop","cØa hàng bö hoang"
"a leather clothing shop","cØa hàng bán qu¥n áo da"
"a weaponsmith's shop","cØa hàng rèn vû khí"
"a metal craft shop","cØa hàng kim khí"
"a leather goods shop","cØa hàng ð° da"
"a carpenter's shop","cØa hàng ð° g²"
"the meat market","chþ th¸t"
"the fruit and vegetable market","chþ hoa quä và rau cü"
"the cheese market","chþ phô mai"
"I have no idea.","Ta không có ý kiªn gì hªt."
"Goodbye.","TÕm bi®t."
"My companion.","Chiªn hæu cüa ta."
"It is good to see you here.","Th§t tuy®t khi g£p bÕn · ðây."
"Intruder!  Intruder!","Có kë xâm nh§p!  Có kë xâm nh§p!"
"Is it raining?","Tr¶i ðang mßa à?"
"What a strange place!","Th§t là mµt n½i kì lÕ!"
"Where am I?","Ta ðang · ðâu?"
"I accept your offer.","Ta ch¤p nh§n l¶i ð« ngh¸."
"Whosoever would blight the world, preying on the helpless, fear me!  I call you a child of the night and will slay you where you stand.","Kë nào dám Ñc hiªp ngß¶i yªu, phá hoÕi thª gi¾i, sþ hãi trß¾c sÑc mÕnh cüa ta ðây!  Ta g÷i các ngß½i là lû trë cüa bóng ðêm và tiêu di®t ngß½i b¤t cÑ n½i nào ngß½i ðÑng."
"Of course.","T¤t nhiên r°i."
"Please be patient.  I'll have your order ready in a moment.","Làm ½n hãy kiên nhçn. Ð« ngh¸ cüa c§u s¨ ðßþc tiªp nh§n trong ch¯c lát."
"Who?","Ai c½?"
"I'm on an important mission.","Tôi ðang làm mµt nhi®m vø cñc kì quan tr÷ng."
"I'm walking my patrol.","Tôi ðang trên ðß¶ng tu¥n tra."
"I'm going out for some water.","Tôi ðang ð¸nh ra ngoài l¤y chút nß¾c."
"I'm going to visit the temple.","Tôi ðang ði thåm chùa."
"I'm going to visit the shrine.","Tôi ðang ð¸nh ði thåm ði®n th¶"
"I'm going out to the tavern.","Tôi ðang ð¸nh ði t¾i quán rßþu."
"grandfather","ông"
"grandparent","ông bà"
"grandchild","cháu"
"northwest","phía tây b¡c"
"northeast","phía ðông b¡c"
"southwest","phía tây nam"
"southeast","phía ðông nam"
"Never!","Không bao gi¶!"
"Huh?","H·?"
"Ack!","Ách!"
"Uh...","–m..."
"What?","Cái gì?"
"Wait, what?","Ch¶ ðã, gì c½?"
"Forgive me, but","Xin thÑ l²i cho tôi, nhßng mà"
"Oh, no,","Ôi, không,"
"Really.","Th§t ð¤y à."
"I don't want to argue.","Tôi không mu¯n tranh lu§n."
"I don't know what to say.","Tôi không biªt phäi nói nhß thª nào."
"I disagree.","Tôi không ð°ng ý."
"Help!  Save me!","CÑu v¾i! CÑu tôi v¾i!"
"What is this madness?  Calm yourself!","Cái thÑ ðiên r° gì thª này?  Bình tînh lÕi ði!"
"the Shrubland","Vùng bøi cây"
"zero","không"
"three","ba"
"four","b¯n"
"five","nåm"
"seven","bäy"
"eight","tám"
"nine","chín"
"eleven","mß¶i mµt"
"twelve","mß¶i hai"
"thirteen","mß¶i ba"
"fourteen","mß¶i b¯n"
"fifteen","mß¶i nåm"
"sixteen","mß¶i sáu"
"seventeen","mß¶i bäy"
"eighteen","mß¶i tám"
"nineteen","mß¶i chín"
" billion"," tÖ"
" million"," tri®u"
" thousand"," nghìn"
" hundred"," tråm"
"twenty","hai mß½i"
"thirty","ba mß½i"
"forty","b¯n mß½i"
"fifty","nåm mß½i"
"sixty","sáu mß½i"
"seventy","bäy mß½i"
"eighty","tám mß½i"
"ninety","chín mß½i"
"Zeroth","ThÑ không"
"First","ThÑ nh¤t"
"Second","ThÑ hai"
"Third","ThÑ ba"
"Fourth","ThÑ tß"
"Fifth","ThÑ nåm"
"Sixth","ThÑ sáu"
"Seventh","ThÑ bäy"
"Eighth","ThÑ tám"
"Ninth","ThÑ chín"
"Tenth","ThÑ mß¶i"
"Eleventh","ThÑ mß¶i mµt"
"Twelfth","ThÑ mß¶i hai"
"Thirteenth","ThÑ mß¶i ba"
"Fourteenth","ThÑ mß¶i b¯n"
"Fifteenth","ThÑ mß¶i låm"
"Sixteenth","ThÑ mß¶i sáu"
"Seventeenth","ThÑ mß¶i bäy"
"Eighteenth","ThÑ mß¶i tám"
"Nineteenth","ThÑ mß¶i chín"
" sculpture has melted!"," bÑc ðiêu kh¡c b¸ tan chäy!"
"Digging designation cancelled: warm stone located.","HuÖ bö v¸ trí ðào: có ðá nóng."
"Digging designation cancelled: damp stone located.","HuÖ bó v¸ trí ðào: có ðá ng¤m nß¾c"
"Trade Depot","Sàn Giao D¸ch"
"Carpenter's Workshop","Xß·ng Mµc"
"Farmer's Workshop","Xß·ng Nông"
"Siege Workshop","Xß·ng Chiªn Xa"
"Workshop","Xß·ng"
"Farm Plot","Ruµng ð¤t"
"Glass Furnace","Lò Nung Kính"
"Wood Furnace","Lò Ð¯t G²"
"Magma Glass Furnace","Lò Magma Nung Kính"
"Furnace","Lò nung/ð¯t"
"Armor Stand","Giá ðÞ Áo giáp"
"Dirt Road","Ðß¶ng Ð¤t"
"Paved Road","Ðß¶ng Lát Ðá"
"Glass Window","CØa Kính"
" Door"," CØa"
" Table"," Bàn"
" Armor Stand"," Giá ðÞ Áo giáp"
" Road"," Ðß¶ng"
" Statue"," Tßþng"
"Home","Nhà"
"Bone Carving Workshop","Xß·ng ðiêu kh¡c xß½ng"
"Affects ability to remain standing when tired.","Änh hß·ng ðªn khä nång ðÑng væng khi m®t möi."
"Swimming","B½i lµi"
"the worthlessness","sñ vô giá"
"a great hero","mµi ngß¶i hùng vî dÕi"
"a hero","mµt ngß¶i hùng"
", but those acts bring no forgiveness.",", nhßng nhæng hành ðµng ðó chÆng mang ðßþc sñ tha thÑ."
" reunited "," t§p hþp lÕi "
" bravely put an end to "," mÕnh m¨ ð£t d¤u ch¤m hªt cho "
"you.","ngß½i."
" my partner"," ngß¶i thân cüa ta"
", but it means nothing now.",", nhßng gi¶ nó chÆng còn ý nghîa gì næa."
"a legendary brawler","mµt ð¤u sî huy«n thoÕi"
"capable of such violence","có th¬ gây ra hành vi bÕo lñc nhß v§y"
"well-known brawler","ð¤u sî n±i tiªng"
"prone to violence","có xu hß¾ng bÕo lñc"
"somewhat violent","có h½i bÕo lñc"
" started a fight with "," lao vào ¦u ðä v¾i "
"a legendary thug","mµt tên bÕo ð° huy«n thoÕi"
"an infamous thug","mµt kë côn ð° ð¥y tai tiªng"
"a well-known thug","mµt tên du côn khét tiªng"
"a known thug","mµt tên du côn có tiªng"
"thuggish","côn ð°"
" bullied "," b¸ b¡t nÕt "
" did not name "," không có tên "
"Did you hear the one about the ","BÕn ðã nghe ai nói v« "
"So exasperating!","Th§t bñc mình!"
"How exhilarating!","Th§t ph¤n khích!"
"You will know my ferocity!","Ngß½i s¨ biªt thª nào là c½n th¸nh nµ cüa ta!"
"Such freedom I feel!","Th§t là mµt cäm giác tñ do!"
"Such a fright!","Khiªp quá!"
"How frustrating!","Th§t khó ch¸u!"
"I can accept this.","Tôi có th¬ ch¤p nh§n ði«u này."
"I was attacked by my own dead ","Tôi b¸ t¤n công b·i chính nhæng ngß¶i chªt cüa mình. "
".  What can I do for you?",". Ta giúp ðßþc gì cho ngß½i?"
"It's great to have a friend like you!","Th§t tuy®t khi có mµt ngß¶i bÕn nhß c§u!"
"And what exactly do you want?","Và r¯t cuµc ngß½i mu¯n gì?"
"Are you ready to learn?","Ngß½i ðã sÇn sàng ð¬ h÷c chßa?"
"Been in any good scraps today?","Nay có tr§n ðánh nhau nào ra h°n không?"
"Let's not hurt anybody.","Ð×ng làm ai b¸ thß½ng."
"Make any good deals lately?","DÕo này có thß½ng vø nào t¯t không?"
"Long live the cause!","Vinh quang cho ðÕi nghîa!"
"Thank you for keeping us safe.","Cäm ½n vì ðã bäo v® chúng tôi."
"Don't let the enemy rest.","Ð×ng ð¬ kë thù có c½ hµi nghï ng½i."
"Are you hunting for treasure?","Ngß½i ðang sån tìm kho báu à?"
"beast","quái thú"
"is muscular and very tall","có c½ b¡p và r¤t cao"
"is muscular and extremely short","ð¥y c½ b¡p và th¤p"
"Tools","Công cø"
"Butchery","Ngh« bán th¸t"
"Riding","CßÞi"
"Lying","Nói d¯i"
"Stringed Instrumentalist","NhÕc Cø Có Dây"
"camel","lÕc ðà"
"cat","mèo"
"civet","c¥y hß½ng"
"donkey","l×a"
"elephant","voi"
"horse","ngña"
"hyena","linh c¦u"
"mammoth","voi ma mút"
"mongoose","c¥y mangut"
"panda","g¤u trúc"
"pangolin","tê tê"
"panther","báo"
"pig","lþn"
"zebra","ngña v¢n"
"Sorting buildings...","S¡p xªp Kiªn trúc..."
"Loading world information...","Load thông tin thª gi¾i..."
"Trees: ","Cây: "
"River: ","Sông: "
"Minor River: ","Sông nhánh: "
"Stream: ","Dòng kênh: "
"Brook: ","Dòng su¯i: "
"Volcano: ","Núi lØa: "
"Mountain: ","Ng÷n núi: "
"Houses","Khu nhà"
"Hillock","Gò ð°i"
"House","Nhà"
"Abandoned hillocks","Gò d°i bö hoang"
"Abandoned houses","Khu nhà bö hoang"
"Prepared Food","ThÑc Ån Ðã Qua Chª Biªn"
"butcherable ","có th¬ m± "
"building material ","v§t li®u xây dñng "
"Sorting world information...","S¡p xªp thông tin thª gi¾i..."
"statue","tßþng"
"Mechanics","C½ khí"
"Wall/Floor Construction","Thi công Tß¶ng/Sàn"
"drowsy","bu°n ngü"
"very drowsy","r¤t bu°n ngü"
"thirsty","khát"
"dehydrated","m¤t nß¾c"
"hungry","ðói"
"starving","chªt ðói"
"created","tÕo ra"
" held by "," ðã ðßþc giæ b·i "
" group from "," nhóm t× "
"Friendly","Thân thi®n"
"Pillaging","Cß¾p bóc"
"hunger","ðói"
"encrusted with","nÕm b¢ng"
" coffer"," rß½ng"
"Sleep","Ngü"
" scale is "," quy mô là "
"Use Seed","SØ døng Seed"
"Shallow Clay","Ð¤t set nông"
"Little soil","Ít ð¤t"
"Some soil","L¾p ð¤t möng"
"Deep soil","L¾p ð¤t dày"
"Very deep soil","L¾p ð¤t dày"
"Extremely deep soil","L¾p ð¤t cñc kì dày"
"Varied aquifer","Nhi«u t¥ng ng§p nß¾c"
"Heavy aquifer","T¥ng ng§p nß¾c n£ng"
"Light aquifer","T¥ng ng§p nß¾c nh©"
"Are you sure you want to go on?","BÕn có ch¡c bÕn mu¯n tiªp tøc"
"thinks that the world should be engaged in perpetual warfare","nghî r¢ng thª gi¾i luôn luôn có chiªn tranh"
"is rarely happy or enthusiastic","hiªm khi vui vë hay nhi®t tình"
"is stubborn","cÑng ð¥u v«"
"not having enough armor stands","không ðü giá ðÞ áo giáp"
" bow"," cung"
"the nature of beauty","bän ch¤t cüa cái ð©p"
"the Cause","nguyên nhân"
"Mechanical Clocks","Ð°ng h° C½ khí"
"Loss","M¤t Mát"
"Ruin","Tàn tích"
"Well dry","Giªng cÕn"
"Dangerous terrain","Ð¸a hình nguy hi¬m"
"sage","hi«n nhân"
" has gone berserk!"," tr· nên ðiên dÕi!"
" is stricken by melancholy!"," b¸ ðau kh± vì quá bu°n r¥u!"
" has forgotten a demand."," ðã quên mµt yêu c¥u"
" has imposed a ban on certain exports."," ðã áp ð£t l®nh c¤m ð¯i v¾i mµt s¯ m£t hàng xu¤t kh¦u."
" has altered the prices of goods."," ðã thay ð±i giá cä hàng hóa."
"very slow to tire","r¤t ch§m ð¬ m®t"
"been shot and killed.","ðã b¸ b¡n và giªt"
"Underworld","Ð¸a ngøc"
